onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	order	response	correctness	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
22.08303925709697	2.0	FILLER	1.3923606690805173	3_1	1	ábrázolás	szokatlan	1	good		839	9	4	4	3495	9	3	1	2.55	4.45	3.45	6.05	0.0
30.083397092184896	2.0	FILLER	1.66385120207633	3_1	2	adottság	pozitív	1	no-good		1928	8	3	3	10499	7	3	1	2.15	3.8	3.0	6.0	0.0
40.09984393062405	2.0	DISTANT	1.6954738855965843	3_1	60	mutatvány	szánalmas	1	no-good	0	716	9	3	3	685	9	3	4	4.45	4.9	3.5	6.1	1.0
46.099112891719415	2.0	REPEAT	1.5516551729961066	3_1	43	kolbász	tonnányi	1	good	1	867	7	2	2	533	8	3	1	2.6	6.05	5.95	6.15	1.0
56.09957369725089	2.0	FILLER	1.4074553160789949	3_1	3	alapanyag	folyékony	1	good		2168	9	4	4	612	9	3	1	1.75	5.6	5.6	6.45	0.0
66.09899199110441	2.0	DISTANT	1.783629646572081	3_1	61	művészet	vizuális	1	good	1	6299	8	3	1	1406	8	4	1	2.15	4.8	4.3	5.65	1.0
74.10240231063653	2.0	FILLER	1.500058785364672	3_1	4	államférfi	diszkrét	1	no-good		599	10	4	4	535	8	2	1	1.8	3.8	3.65	4.7	0.0
80.11566782350565	2.0	REPEAT	0.999020243936684	3_1	44	kollégium	főiskolai	1	good	1	3139	9	4	3	1294	9	5	2	2.5	6.6	6.2	6.45	1.0
86.11595188872525	2.0	FILLER	1.166997051510407	3_1	5	áramlat	belföldi	1	good		1372	7	3	2	3239	8	3	4	1.8	3.05	2.25	2.8	0.0
92.11620982711976	2.0	REPEAT	1.2866317984517082	3_1	45	kolostor	hajdani	1	good	1	1099	8	3	4	1367	7	3	7	2.3	4.65	5.65	5.75	1.0
100.13157547592346	2.0	FILLER	1.1501844374761276	3_1	6	asszisztens	tárgyalási	1	good		1083	11	3	4	2106	10	4	6	2.05	4.45	4.4	5.25	0.0
104.1317581075782	2.0	REPEAT	1.0383587946125772	3_1	46	költészet	mágikus	1	good	1	1207	9	3	4	454	7	3	1	2.6	3.0	3.15	3.85	1.0
108.1319399707936	2.0	DISTANT	1.1181849641106965	3_1	62	nagymama	kedvenc	1	no-good	1	1874	8	3	1	9838	7	2	3	3.25	6.0	5.9	6.8	1.0
120.1315073412552	2.0	CLOSE	1.262202189380332	3_1	84	tanfolyam	gyakorlati	1	good	1	1871	9	3	2	3948	10	4	8	1.9	6.1	4.1	6.1	1.0
126.13172839471372	2.0	CLOSE	1.390404486846819	3_1	85	távirat	udvarias	1	good	0	635	7	3	2	446	8	4	1	2.1	4.8	4.45	5.15	1.0
136.13122122687128	2.0	REPEAT	1.7344543450344645	3_1	47	kommentár	terjedelmes	1	no-good	1	2449	9	3	2	699	11	4	5	2.2	4.4	4.0	5.3	1.0
140.13140283394023	2.0	FILLER	1.8221910521751847	3_1	7	bábszínház	virtuális	1	no-good		636	10	3	2	5945	9	4	1	1.85	4.6	4.95	4.6	0.0
148.1317335176209	2.0	CLOSE	1.486366534300032	3_1	86	telefonszám	otthoni	1	good	1	4732	11	4	2	4288	7	3	8	1.4	6.5	4.3	6.65	1.0
154.13500475021647	2.0	CLOSE	1.3946411313663702	3_1	87	tévéműsor	félelmetes	1	good	1	648	9	4	1	1112	10	4	2	5.45	5.8	5.05	6.6	1.0
