onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	order	response	correctness	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
22.083085276652128	2.0	FILLER	1.319493044691626	3_2	76	népcsoport	kétnyelvű	1	good		847	10	3	4	1121	9	3	1	1.85	5.55	4.5	6.55	0.0
26.08328891324345	2.0	REPEAT	1.3994679321185686	3_2	9	baktérium	növényi	1	good	1	1448	9	4	1	968	7	3	7	2.25	4.75	2.95	5.85	1.0
30.083490756864197	2.0	REPEAT	1.223200844891835	3_2	10	barátnő	középkorú	1	good	1	3479	7	3	1	1253	9	4	8	1.95	5.9	5.5	6.1	1.0
36.08679530525114	2.0	CLOSE	1.3317576043191366	3_2	93	útmutatás	erkölcsi	1	no-good	1	703	9	4	2	4377	8	3	7	3.2	4.1	2.7	6.3	1.0
42.09911570482655	2.0	FILLER	1.5508367927977815	3_2	77	nézőpont	kézenfekvő	1	good		1480	8	3	1	875	10	4	1	2.05	3.9	2.25	4.45	0.0
48.099420263199136	2.0	DISTANT	0.9508556964574382	3_2	68	ösztöndíj	tanulmányi	1	good	1	2344	9	3	1	1823	10	4	8	3.6	6.65	4.5	6.8	1.0
54.09970817208523	2.0	REPEAT	1.5588854340603575	3_2	11	barlang	lakatlan	1	good	1	1015	7	2	2	471	8	3	2	2.9	6.2	6.1	6.3	1.0
64.11621657002252	2.0	CLOSE	1.174085485865362	3_2	94	vacsora	zártkörű	1	good	1	2517	7	3	1	562	8	3	1	2.45	5.85	5.4	6.9	1.0
74.11972373042954	2.0	FILLER	1.098630050662905	3_2	78	nyereség	pillanatnyi	1	good		4712	8	3	5	1179	11	4	2	3.8	4.45	3.25	6.35	0.0
80.13302875787485	2.0	FILLER	1.3415626434143633	3_2	79	olvasmány	irodalmi	1	no-good		593	9	3	0	4601	8	4	7	2.85	5.4	6.35	6.85	0.0
88.13243962050183	2.0	FILLER	1.549541971297003	3_2	80	operatőr	hivatásos	1	good		1019	8	4	2	3472	9	4	7	1.35	6.55	5.95	6.55	0.0
94.13273803138873	2.0	REPEAT	1.413554719183594	3_2	12	benzinkút	hajnali	1	good	1	1490	9	3	1	3888	7	3	8	2.85	5.25	6.5	4.8	1.0
100.14904279267648	2.0	REPEAT	1.3568620288860984	3_2	13	bölcsőde	szomszédos	1	good	1	1219	8	3	1	5450	10	3	7	1.7	6.1	5.1	6.55	1.0
108.14944878517416	2.0	DISTANT	1.3008757911156863	3_2	69	pénztárca	ismeretlen	1	good	1	1902	9	3	3	17883	10	4	7	3.55	4.9	4.9	6.15	1.0
114.1527592249331	2.0	FILLER	1.9213214709889144	3_2	81	őrmester	méltatlan	1	no-good		552	8	3	1	1723	9	3	2	3.5	4.7	3.3	5.3	0.0
122.16616491804598	2.0	REPEAT	1.5242643915698864	3_2	14	boríték	érvénytelen	1	good	1	1364	7	3	3	1401	11	4	2	2.8	4.1	4.1	3.4	1.0
130.16557936667232	2.0	CLOSE	1.4522938320296817	3_2	95	végállomás	ideiglenes	1	good	1	893	10	4	4	4073	10	5	1	2.95	4.15	3.65	4.7	1.0
138.16597588174045	2.0	CLOSE	0.0	3_2	96	ventilátor	masszív	1		1	1165	10	4	3	982	7	2	2	1.6	4.5	5.6	5.5	1.0
148.1654917645501	2.0	FILLER	1.1482810123707168	3_2	82	országrész	középső	1	good		1927	10	3	3	3447	7	3	1	1.4	6.0	5.65	6.75	0.0
156.16888493968872	2.0	FILLER	1.3526683953241443	3_2	83	pályafutás	dicséretes	1	good		3897	10	4	5	469	10	4	8	3.05	4.7	4.6	5.5	0.0
166.18239104229724	2.0	REPEAT	1.4116264469339512	3_2	15	csecsemő	egészséges	1	good	1	2039	8	3	2	7076	10	4	8	2.6	6.5	6.55	6.6	1.0
172.18269534455612	2.0	DISTANT	1.1473378802766092	3_2	70	pisztoly	törvénytelen	1	good	1	1679	8	2	3	1475	12	4	3	4.75	4.9	4.9	5.3	1.0
178.19900010584388	2.0	REPEAT	1.578962979838252	3_2	16	csengőhang	többféle	1	no-good	1	2279	10	3	1	2956	8	3	1	2.25	4.55	3.55	5.8	1.0
190.19860845751828	2.0	FILLER	1.826955238124356	3_2	84	parancs	vitathatatlan	1	good		4012	7	2	4	667	13	5	1	4.3	5.7	3.1	6.05	0.0
196.20191300596343	2.0	REPEAT	1.0633709467947483	3_2	10	barátnő	középkorú	2	good	1	3479	7	3	1	1253	9	4	8	1.95	5.9	5.5	6.1	1.0
202.2152226440376	2.0	REPEAT	1.322337809833698	3_2	9	baktérium	növényi	2	good	1	1448	9	4	1	968	7	3	7	2.25	4.75	2.95	5.85	1.0
212.2157267407165	2.0	DISTANT	1.2820958843803965	3_2	68	ösztöndíj	partnerségi	2	good	1	2344	9	3	1	465	11	4	3	2.05	4.7	2.1	4.3	0.680144787
216.21892780583585	2.0	CLOSE	1.9507540062186308	3_2	93	útmutatás	szellemi	2	no-good	1	703	9	4	2	6915	8	3	7	3.0	2.9	2.85	5.0	0.7834023237000001
222.23123232432408	2.0	CLOSE	1.4576734247384593	3_2	94	vacsora	meghívásos	2	good	1	2517	7	3	1	352	10	4	5	2.1	5.8	4.1	6.45	0.7889098529999999
226.23143519245787	2.0	REPEAT	0.9137072545709088	3_2	11	barlang	lakatlan	2	good	1	1015	7	2	2	471	8	3	2	2.9	6.2	6.1	6.3	1.0
230.23163806064983	2.0	DISTANT	1.225662414508406	3_2	71	professzor	közgazdasági	1	good	0	6091	10	3	5	1411	12	5	4	1.9	6.5	5.5	6.65	1.0
238.2320494322339	2.0	REPEAT	1.1057191664003767	3_2	12	benzinkút	hajnali	2	good	1	1490	9	3	1	3888	7	3	8	2.85	5.25	6.5	4.8	1.0
248.2315522514982	2.0	FILLER	0.0	3_2	85	párbeszéd	kötetlen	1			6299	9	3	3	695	8	3	5	2.4	5.3	4.4	6.65	0.0
260.2311623962596	2.0	FILLER	1.2577225024579093	3_2	86	pontszám	egyenlő	1	no-good		1320	8	2	3	4474	7	3	1	2.5	6.1	5.25	5.9	0.0
270.23167135973927	2.0	REPEAT	1.4814878946635872	3_2	14	boríték	érvénytelen	2	good	1	1364	7	3	3	1401	11	4	2	2.8	4.1	4.1	3.4	1.0
274.23487473023124	2.0	DISTANT	1.254211243649479	3_2	69	pénztárca	alvilági	2	good	1	1902	9	3	3	393	8	4	3	3.55	2.25	2.8	2.6	0.690712929
282.24827504419954	2.0	REPEAT	1.441096123366151	3_2	13	bölcsőde	szomszédos	2	good	1	1219	8	3	1	5450	10	3	7	1.7	6.1	5.1	6.55	1.0
288.24759497476043	2.0	CLOSE	1.561102639767341	3_2	96	ventilátor	erőteljes	2	good	1	1165	10	4	3	3772	9	4	1	2.75	5.75	5.6	5.45	0.84082365
292.2477832425502	2.0	REPEAT	1.5608147308812477	3_2	17	csillagász	figyelmes	1	no-good	1	606	10	3	4	1273	9	3	8	1.9	4.4	4.85	5.8	1.0
300.2641914871056	2.0	CLOSE	1.3284653509035709	3_2	95	végállomás	átmeneti	2	good	1	893	10	4	4	6049	8	4	7	3.4	3.25	3.15	4.3	0.847806394
306.2645070598228	2.0	REPEAT	1.072430855128914	3_2	15	csecsemő	egészséges	2	good	1	2039	8	3	2	7076	10	4	8	2.6	6.5	6.55	6.6	1.0
316.2680049989722	2.0	DISTANT	1.2128566169994883	3_2	70	pisztoly	ellenséges	2	good	1	1679	8	2	3	1644	10	4	8	4.95	4.35	4.55	4.35	0.6924996379999999
326.280514178623	2.0	FILLER	1.7917458266601898	3_2	87	protokoll	sebészeti	1	good		1295	9	3	3	459	9	4	5	4.45	5.6	3.3	6.25	0.0
334.2809191465494	2.0	REPEAT	1.1357818224350922	3_2	16	csengőhang	többféle	2	no-good	1	2279	10	3	1	2956	8	3	1	2.25	4.55	3.55	5.8	1.0
342.2973199628177	2.0	CLOSE	1.543080158822704	3_2	97	világítás	hangulatos	1	no-good	1	1393	9	4	5	1112	10	4	5	2.95	5.9	6.4	6.85	1.0
350.2977256992017	2.0	REPEAT	1.7428392272558997	3_2	18	csomagolás	ízléses	1	no-good	1	1577	10	4	4	472	7	3	7	1.35	5.8	6.1	6.05	1.0
356.30102999147493	2.0	REPEAT	1.7795122608658858	3_2	19	diáklány	ártatlan	1	good	1	819	8	3	4	2035	8	3	5	2.8	5.3	5.35	6.6	1.0
360.3142330725095	2.0	REPEAT	0.9664245482999833	3_2	20	diktátor	kegyetlen	1	good	1	1821	8	3	4	1493	9	3	2	6.0	5.8	6.2	6.7	1.0
368.3136395806214	2.0	FILLER	1.5024842386483217	3_2	88	pszichiáter	hűséges	1	good		814	11	4	4	1248	7	3	2	2.55	4.9	3.05	5.05	0.0
378.31415110558737	2.0	REPEAT	1.6384988984791562	3_2	21	díszlet	színpadi	1	no-good	1	1420	7	2	3	1542	8	3	5	2.1	5.9	6.35	6.75	1.0
384.3134559234604	2.0	DISTANT	1.430505738593638	3_2	71	professzor	alkotmányügyi	2	good	0	6091	10	3	5	1277	13	5	2	2.45	5.65	3.5	3.95	0.640873194
390.3137717523496	2.0	REPEAT	1.462536625796929	3_2	22	díszterem	patinás	1	no-good	1	1123	9	3	1	802	7	3	4	2.3	5.2	5.55	5.05	1.0
396.31706451799255	2.0	DISTANT	1.4429091296624392	3_2	72	rémálom	szomorú	1	good	1	769	7	3	1	3745	7	3	3	5.8	4.8	4.45	5.5	1.0
406.330566266086	2.0	REPEAT	1.2058046425227076	3_2	23	egyenruha	rendőri	1	good	1	1598	9	4	1	6998	7	3	1	3.4	6.75	6.65	6.9	1.0
412.3308759474312	2.0	FILLER	1.341591587930452	3_2	89	publicista	hiteles	1	good		1111	10	4	1	4985	7	3	8	1.7	4.2	3.1	5.35	0.0
424.34748526709154	2.0	CLOSE	1.3172584210406058	3_2	98	zarándok	keresztény	1	good	1	1047	8	3	2	7533	10	3	5	2.05	5.9	5.65	5.75	1.0
