onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	order	response	correctness	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
22.10510134058859	1.2287074863779708	TARGET	1.2287074863779708	7_1	26	fejfájás	kellemetlen		old	1	1351	8	3	4	3486	11	4	1	5.85	5.5	5.25	6.7	1.0
34.11573808795947	1.4098275287542492	FOIL	1.4098275287542492	7_1	63	laktanya	községi		new	1	1021	8	3	3	670	7	3	5	2.4	5.45	5.1	4.6	0.0
40.11603060747439	1.297830975454417	DISTANT	1.297830975454417	7_1	88	törmelék	életveszélyes		new	1	730	8	3	1	3907	13	5	3	4.75	5.8	6.2	6.4	0.657350659
48.116425585671095	1.0815535194124095	TARGET	1.0815535194124095	7_1	27	folyadék	elegendő		old	1	1438	8	3	3	9296	8	4	1	2.65	4.85	5.45	6.5	1.0
58.13293270283612	1.0891626129305223	TARGET	1.0891626129305223	7_1	28	gorilla	érzékeny		old	1	659	7	3	2	3895	8	3	3	3.1	4.0	4.3	4.9	1.0
68.13243962045817	1.0811426601285348	DISTANT	1.0811426601285348	7_1	89	tudomány	genetikai		new	1	3986	8	3	5	1398	9	5	2	2.4	4.8	2.6	5.45	0.662602782
72.13263787799224	1.153125770841143	DISTANT	1.153125770841143	7_1	90	tűzijáték	verhetetlen		new	1	1585	9	4	1	357	11	4	2	2.4	3.2	4.55	3.15	0.664982438
82.13214428332867	1.5291532072296832	FOIL	1.5291532072296832	7_1	64	lázadás	széleskörű		new	1	945	7	3	5	1556	10	4	1	5.55	5.35	5.0	5.25	0.0
92.13365196273662	1.41638744543161	FOIL	1.41638744543161	7_1	65	leépítés	túlzott		new	1	2318	8	4	4	2708	7	2	2	5.2	4.75	2.7	5.95	0.0
102.1321586275444	1.3931549408298451	FOIL	1.3931549408298451	7_1	66	megjegyzés	egyértelmű		new	1	3288	10	3	4	11495	10	4	1	2.5	5.65	2.5	6.1	0.0
106.13236636250804	1.4971674018524936	CLOSE	1.4971674018524936	7_1	51	magazin	kutatási		old	0	7307	7	3	2	3464	8	4	6	1.7	4.85	4.8	5.1	0.882873833
110.13256923068548	1.2171201786477468	TARGET	1.2171201786477468	7_1	29	hangszer	autentikus		old	1	1828	8	2	3	526	10	5	1	2.0	4.6	3.7	4.7	1.0
120.1490719933572	1.2564881315774985	TARGET	1.2564881315774985	7_1	30	háziorvos	elégedetlen		old	1	2011	9	4	4	2000	11	5	3	4.1	5.6	5.2	5.6	1.0
126.148380909588	1.280522631452186	TARGET	1.280522631452186	7_1	31	helyezés	végleges		old	1	5834	8	3	4	7802	8	3	3	2.95	4.45	3.65	5.2	1.0
138.14899028256332	1.4325290412671166	FOIL	1.4325290412671166	7_1	67	meglátás	egyoldalú		new	1	1153	8	3	3	1776	9	4	4	3.4	4.35	2.35	6.3	0.0
148.14849668789248	1.272264974526479	FOIL	1.272264974526479	7_1	68	mellékhatás	közvetett		new	1	918	11	4	4	1115	9	3	2	4.65	3.85	2.6	5.25	0.0
158.1489995038428	1.4405448957259068	FOIL	1.4405448957259068	7_1	69	mellékutca	rendezetlen		new	1	573	10	4	0	427	11	4	3	3.45	5.35	5.95	5.85	0.0
164.14831661676726	1.6965314920817036	DISTANT	1.6965314920817036	7_1	91	újságcikk	igazságtalan		old	0	503	9	3	0	1736	12	5	2	5.75	5.35	4.5	5.75	0.626544654
170.14861016087525	1.3205127646870096	CLOSE	1.3205127646870096	7_1	52	matrica	ingyenes		old	0	1479	7	3	2	13952	8	3	1	2.65	6.2	4.8	6.5	0.863539815
178.16501430707285	1.5438670414223452	FOIL	1.5438670414223452	7_1	70	merénylő	gondatlan		new	1	1494	8	3	1	869	9	3	1	5.2	4.7	4.5	4.5	0.0
188.1655258320097	1.5355876120302128	TARGET	1.5355876120302128	7_1	32	horgász	tradicionális		old	1	707	7	2	2	850	13	6	1	2.1	4.65	5.0	4.65	1.0
192.16472332442936	1.6798681254440453	CLOSE	1.6798681254440453	7_1	53	mellény	szabadidős		new	1	909	7	2	5	608	10	4	1	2.05	4.15	4.65	4.85	0.7459257840000001
200.1651339275704	1.3600026434287429	FOIL	1.3600026434287429	7_1	71	mozdulat	harmonikus		new	1	2331	8	3	5	567	10	4	2	2.25	4.7	4.35	4.3	0.0
206.1654333630504	1.2318762770446483	TARGET	1.2318762770446483	7_1	33	iránytű	hasznos		old	1	794	7	3	2	9089	7	2	7	1.75	5.45	6.15	6.3	1.0
210.1656413541641	1.0958037281088764	TARGET	1.0958037281088764	7_1	34	kánikula	tavaszi		old	1	1200	8	4	1	5301	7	3	7	4.05	5.35	5.25	5.1	1.0
216.1819461154446	1.295227500530018	CLOSE	1.295227500530018	7_1	54	menetrend	változatlan		new	1	4833	9	3	2	3262	11	4	2	1.8	6.25	4.95	7.0	0.812076867
222.1812601546117	1.743221141936374	DISTANT	1.743221141936374	7_1	92	útlezárás	gyorsforgalmi		new	1	1291	9	4	3	882	13	4	3	2.8	5.9	5.45	6.2	0.620973349
228.1815496003692	1.5349334133861705	TARGET	1.5349334133861705	7_1	35	kapitány	rutinos		old	1	6280	8	3	5	669	7	3	6	1.95	6.0	5.15	6.1	1.0
234.19785922843585	1.7345603101275628	DISTANT	1.7345603101275628	7_1	93	útmutatás	lelkiismereti		new	1	703	9	4	2	476	13	6	6	3.5	3.7	2.5	5.05	0.6710424423
242.1982652209408	1.1904801546552335	FOIL	1.1904801546552335	7_1	72	mozzanat	színészi		new	1	983	8	3	2	942	8	3	7	2.7	5.1	4.65	5.25	0.0
254.1978687058654	1.3024964312353404	FOIL	1.3024964312353404	7_1	73	munkagép	kicsiny		new	1	1398	8	3	1	960	7	2	6	1.5	5.35	5.55	5.45	0.0
