onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	jitter	response	counterbalance	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
28.072297473656363	2.0	CLOSE	1.2445472273102496	StimuliTable-2453-Mapping-Run4.xlsx	31	helyezés	jogerős	10	3	2	5834	8	3	4	4058	7	3	1	2.55	2.65	1.5	3.3	0.78364414
36.07973057536583	2.0	CLOSE	1.0858698834490497	StimuliTable-2453-Mapping-Run4.xlsx	17	csillagász	türelmes	6	3	2	606	10	3	4	495	8	3	7	2.2	4.5	4.55	5.3	0.7566338779999999
48.08926253764366	2.0	DISTANT	1.1399528127803933	StimuliTable-2453-Mapping-Run4.xlsx	59	műemlék	vulkáni	10	2	2	1457	7	3	1	474	7	3	3	2.8	4.85	4.6	5.0	0.654830635
56.09564595291158	2.0	DISTANT	1.1012535018380731	StimuliTable-2453-Mapping-Run4.xlsx	2	albérlet	hátrányos	6	2	2	547	8	3	1	5583	9	3	6	4.3	4.4	4.3	4.05	0.60664767
64.0950317147217	2.0	BASELINE	1.0383348151372047	StimuliTable-2453-Mapping-Run4.xlsx	22	díszterem	patinás	6	3	2	1123	9	3	1	802	7	3	4	2.3	5.2	5.55	5.05	1.0
74.11154621784226	2.0	DISTANT	1.2537777057295898	StimuliTable-2453-Mapping-Run4.xlsx	44	kollégium	közüzemi	8	3	2	3139	9	4	3	1019	8	4	4	2.75	4.6	4.35	3.9	0.6578273179999999
86.11311357541126	2.0	BASELINE	0.948190622846596	StimuliTable-2453-Mapping-Run4.xlsx	77	szélvihar	hirtelen	10	3	2	490	9	3	0	6756	8	3	4	4.6	6.2	6.2	6.65	1.0
94.12751051927626	2.0	BASELINE	0.9248680143646196	StimuliTable-2453-Mapping-Run4.xlsx	70	pisztoly	törvénytelen	6	2	2	1679	8	2	3	1475	12	4	3	4.75	4.9	4.9	5.3	1.0
102.13395079896144	2.0	CLOSE	1.1347597081185086	StimuliTable-2453-Mapping-Run4.xlsx	30	háziorvos	türelmetlen	6	3	2	2011	9	4	4	480	11	4	1	4.55	6.25	5.95	6.6	0.7620039581999999
112.13937648420688	2.0	BASELINE	1.193570580915548	StimuliTable-2453-Mapping-Run4.xlsx	13	bölcsőde	szomszédos	8	3	2	1219	8	3	1	5450	10	3	7	1.7	6.1	5.1	6.55	1.0
120.1487619309628	2.0	DISTANT	1.5999659838125808	StimuliTable-2453-Mapping-Run4.xlsx	27	folyadék	aránytalan	6	1	2	1438	8	3	3	727	10	4	2	2.25	3.1	2.9	2.5	0.676598668
130.15721193241188	2.0	DISTANT	1.3199604612891562	StimuliTable-2453-Mapping-Run4.xlsx	7	ásványvíz	nagysikerű	8	1	2	963	9	3	1	627	10	4	1	1.35	4.75	4.35	5.75	0.66301918
138.18060984784097	2.0	CLOSE	1.032265691057546	StimuliTable-2453-Mapping-Run4.xlsx	79	szerszám	alattomos	6	2	2	812	8	2	4	304	9	4	1	3.2	2.5	2.4	2.45	0.781269133
148.18813772356953	2.0	DISTANT	1.216282793408027	StimuliTable-2453-Mapping-Run4.xlsx	80	színdarab	társulati	8	3	2	571	9	3	1	342	9	4	7	2.45	5.8	5.8	5.1	0.6175254579999999
156.19447605713503	2.0	CLOSE	1.2974628991651116	StimuliTable-2453-Mapping-Run4.xlsx	32	horgász	hagyományos	6	2	2	707	7	2	2	15070	11	4	6	1.3	4.15	5.5	4.8	0.8027049303
166.19598245194356	2.0	DISTANT	1.320627465553116	StimuliTable-2453-Mapping-Run4.xlsx	19	diáklány	törékeny	8	3	2	819	8	3	4	854	8	3	1	3.7	6.1	6.6	6.6	0.649407744
176.21143907195074	2.0	CLOSE	1.088818124277168	StimuliTable-2453-Mapping-Run4.xlsx	68	ösztöndíj	képzési	8	4	2	2344	9	3	1	2239	7	3	7	3.6	5.6	4.35	6.55	0.819112897
188.22101765281693	2.0	CLOSE	0.9908548182138476	StimuliTable-2453-Mapping-Run4.xlsx	66	oroszlán	csendes	10	3	2	1351	8	3	3	2305	7	2	7	2.15	5.45	5.7	6.3	0.851599276
196.2273946644273	2.0	BASELINE	0.9444816283066756	StimuliTable-2453-Mapping-Run4.xlsx	43	kolbász	tonnányi	6	2	2	867	7	2	2	533	8	3	1	2.6	6.05	5.95	6.15	1.0
204.22781346319243	2.0	CLOSE	1.5523648298112676	StimuliTable-2453-Mapping-Run4.xlsx	89	tudomány	építészeti	6	3	2	3986	8	3	5	1116	10	5	7	1.75	3.95	4.45	5.85	0.7951859240000001
212.2381996724871	2.0	CLOSE	0.9816860710125184	StimuliTable-2453-Mapping-Run4.xlsx	6	áruházlánc	nyereséges	6	2	2	935	10	4	2	888	10	4	8	1.75	5.95	4.4	6.5	0.9131852979999999
224.2437731539976	2.0	BASELINE	1.1922662853176007	StimuliTable-2453-Mapping-Run4.xlsx	64	novella	tanulságos	10	3	2	925	7	3	1	805	10	4	6	2.45	5.4	3.05	6.5	1.0
232.25413682244837	2.0	CLOSE	1.0211289738799678	StimuliTable-2453-Mapping-Run4.xlsx	61	művészet	látványos	6	3	2	6299	8	3	1	6475	9	3	4	3.7	4.15	5.45	5.65	0.801142275
244.26070466285452	2.0	BASELINE	0.9670557781064416	StimuliTable-2453-Mapping-Run4.xlsx	90	tűzijáték	nagyszabású	10	4	2	1585	9	4	1	3070	11	4	1	2.9	6.2	6.9	6.6	1.0
256.277319319066	2.0	CLOSE	1.222323741429136	StimuliTable-2453-Mapping-Run4.xlsx	38	kerékpár	intelligens	10	2	2	3466	8	3	3	2053	11	4	1	1.9	3.15	2.8	3.4	0.787231982
266.27879651324474	2.0	BASELINE	1.060861834062962	StimuliTable-2453-Mapping-Run4.xlsx	69	pénztárca	ismeretlen	8	2	2	1902	9	3	3	17883	10	4	7	3.55	4.9	4.9	6.15	1.0
274.293161951151	2.0	DISTANT	1.0386508993397	StimuliTable-2453-Mapping-Run4.xlsx	28	gorilla	önzetlen	6	3	2	659	7	3	2	338	8	3	1	2.25	4.35	3.65	4.75	0.626140475
286.29476286385034	2.0	BASELINE	1.1168005413928768	StimuliTable-2453-Mapping-Run4.xlsx	29	hangszer	autentikus	10	4	2	1828	8	2	3	526	10	5	1	2.0	4.6	3.7	4.7	1.0
298.3113060553151	2.0	DISTANT	0.8756605685921386	StimuliTable-2453-Mapping-Run4.xlsx	15	csecsemő	tevékeny	10	2	2	2039	8	3	2	403	8	3	2	2.4	4.65	4.65	4.15	0.655481756
308.31981958098186	2.0	BASELINE	0.9631213750544704	StimuliTable-2453-Mapping-Run4.xlsx	11	barlang	lakatlan	8	3	2	1015	7	2	2	471	8	3	2	2.9	6.2	6.1	6.3	1.0
318.3283044182899	2.0	BASELINE	1.1710071892448468	StimuliTable-2453-Mapping-Run4.xlsx	16	csengőhang	többféle	8	2	2	2279	10	3	1	2956	8	3	1	2.25	4.55	3.55	5.8	1.0
326.3276860817714	2.0	DISTANT	1.4275533212785376	StimuliTable-2453-Mapping-Run4.xlsx	82	találmány	kapitalista	6	2	2	1346	9	3	4	357	11	5	1	3.35	4.65	3.95	5.1	0.6249907020000001
338.34423388386494	2.0	CLOSE	1.0821216985787032	StimuliTable-2453-Mapping-Run4.xlsx	76	szakadék	rettenetes	10	3	2	1478	8	3	4	868	10	4	8	5.2	5.15	6.55	6.15	0.891412258
350.35484806314344	2.0	DISTANT	1.3281722469255328	StimuliTable-2453-Mapping-Run4.xlsx	78	szemüveg	elsődleges	10	2	2	1594	8	3	4	6398	10	4	1	2.3	4.25	3.75	3.75	0.657139182
360.3793264025298	2.0	BASELINE	1.3674737572000597	StimuliTable-2453-Mapping-Run4.xlsx	63	napsütés	felhőtlen	8	4	2	3340	8	3	2	612	9	3	1	3.0	6.1	6.45	6.6	1.0
370.3878127767239	2.0	CLOSE	1.327103349554818	StimuliTable-2453-Mapping-Run4.xlsx	18	csomagolás	tetszetős	8	3	2	1577	10	4	4	725	9	3	1	2.1	5.45	6.35	6.25	0.890869737
382.4144422304962	2.0	DISTANT	1.1802184567059155	StimuliTable-2453-Mapping-Run4.xlsx	47	kommentár	szakorvosi	10	2	2	2449	9	3	2	348	10	4	6	2.85	5.15	3.5	5.7	0.625912845
392.419870221056	2.0	DISTANT	1.1587511139223352	StimuliTable-2453-Mapping-Run4.xlsx	68	ösztöndíj	partnerségi	8	1	2	2344	9	3	1	465	11	4	3	2.05	4.7	2.1	4.3	0.680144787
402.43036657314224	2.0	CLOSE	0.9556111733982108	StimuliTable-2453-Mapping-Run4.xlsx	67	osztályzat	átlagos	8	3	2	1028	10	3	3	10804	7	3	7	3.35	5.85	5.35	6.5	0.816440403
412.4358478420909	2.0	DISTANT	1.2861407322634475	StimuliTable-2453-Mapping-Run4.xlsx	30	háziorvos	részmunkaidős	8	2	2	2011	9	4	4	365	13	5	1	2.05	5.7	4.75	5.75	0.6547772288
424.4484112926584	2.0	BASELINE	0.8736024352256209	StimuliTable-2453-Mapping-Run4.xlsx	19	diáklány	ártatlan	10	3	2	819	8	3	4	2035	8	3	5	2.8	5.3	5.35	6.6	1.0
432.4528108569066	2.0	BASELINE	0.9815367378760128	StimuliTable-2453-Mapping-Run4.xlsx	81	szőnyeg	használati	6	2	2	1303	7	2	1	1806	10	4	5	1.9	3.55	4.25	3.8	1.0
442.4632777522056	2.0	DISTANT	1.3543657401605742	StimuliTable-2453-Mapping-Run4.xlsx	92	útlezárás	gyorsforgalmi	8	1	2	1291	9	4	3	882	13	4	3	2.8	5.9	5.45	6.2	0.620973349
454.4748348050198	2.0	CLOSE	1.0155816192709608	StimuliTable-2453-Mapping-Run4.xlsx	28	gorilla	problémás	10	2	2	659	7	3	2	1593	9	3	8	3.3	4.7	4.55	4.65	0.775599658
462.4802558796364	2.0	DISTANT	1.1777194960304769	StimuliTable-2453-Mapping-Run4.xlsx	38	kerékpár	hardveres	6	1	2	3466	8	3	3	1550	9	3	5	1.65	2.65	1.5	2.4	0.6436905860000001
470.486629561361	2.0	BASELINE	1.1950756949954666	StimuliTable-2453-Mapping-Run4.xlsx	1	akadály	lehetetlen	6	2	2	6030	7	3	2	5822	10	4	6	5.4	4.65	3.6	6.3	1.0
482.5132106035308	2.0	BASELINE	1.0006232033047129	StimuliTable-2453-Mapping-Run4.xlsx	42	kirándulás	hétvégi	10	3	2	1896	10	4	4	4177	7	3	5	2.95	6.05	6.3	6.9	1.0
490.5196191210998	2.0	DISTANT	1.0978844130731886	StimuliTable-2453-Mapping-Run4.xlsx	66	oroszlán	jelentéktelen	6	2	2	1351	8	3	3	1068	13	5	3	4.0	3.05	3.55	3.15	0.658192992
