onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	jitter	response	counterbalance	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
28.03621972457768	2.0	CLOSE	1.6561576195672387	StimuliTable-4011-Mapping-Run4.xlsx	56	monitor	érintős	10	2	2	3644	7	3	3	784	7	3	3	1.5	6.55	6.45	6.45	0.8547784690000001
36.0496261174012	2.0	CLOSE	0.915145696770196	StimuliTable-4011-Mapping-Run4.xlsx	41	királynő	gyönyörű	6	4	2	2060	8	3	2	4450	8	3	6	2.95	5.7	6.7	6.6	0.846518397
48.053133516034	2.0	DISTANT	1.559686611257348	StimuliTable-4011-Mapping-Run4.xlsx	16	csengőhang	általános	10	3	2	2279	10	3	1	25132	9	4	3	2.4	5.65	4.6	5.45	0.712553442
56.06550200779748	2.0	DISTANT	1.586455596043379	StimuliTable-4011-Mapping-Run4.xlsx	88	törmelék	életveszélyes	6	3	2	730	8	3	1	3907	13	5	3	4.75	5.8	6.2	6.4	0.657350659
64.06586624652118	2.0	BASELINE	1.7622340794732736	StimuliTable-4011-Mapping-Run4.xlsx	58	műanyag	felesleges	6	3	2	3590	7	3	1	4304	10	4	7	3.55	4.95	5.15	6.3	1.0
74.0823556050891	2.0	DISTANT	1.2018225768078992	StimuliTable-4011-Mapping-Run4.xlsx	43	kolbász	szezonális	8	3	2	867	7	2	2	973	10	4	1	1.6	3.9	3.95	3.15	0.605840862
86.08590193781856	2.0	BASELINE	1.0383649420982692	StimuliTable-4011-Mapping-Run4.xlsx	29	hangszer	autentikus	10	3	2	1828	8	2	3	526	10	5	1	2.0	4.6	3.7	4.7	1.0
94.09923251160944	2.0	BASELINE	1.2811556664601085	StimuliTable-4011-Mapping-Run4.xlsx	96	ventilátor	masszív	6	3	2	1165	10	4	3	982	7	2	2	1.6	4.5	5.6	5.5	1.0
102.09863159455928	2.0	CLOSE	1.2729193119012052	StimuliTable-4011-Mapping-Run4.xlsx	82	találmány	újszerű	6	3	2	1346	9	3	4	1147	7	3	1	2.2	5.1	4.05	5.75	0.758028567
112.09905244141191	2.0	BASELINE	1.6172189118296956	StimuliTable-4011-Mapping-Run4.xlsx	63	napsütés	felhőtlen	8	3	2	3340	8	3	2	612	9	3	1	3.0	6.1	6.45	6.6	1.0
120.09840849193642	2.0	DISTANT	1.1212151639119838	StimuliTable-4011-Mapping-Run4.xlsx	35	kapitány	tüzérségi	6	2	2	6280	8	3	5	319	9	4	5	2.8	5.9	5.55	6.15	0.616324306
130.09886110081425	2.0	DISTANT	1.7692091742028424	StimuliTable-4011-Mapping-Run4.xlsx	30	háziorvos	részmunkaidős	8	3	2	2011	9	4	4	365	13	5	1	2.05	5.7	4.75	5.75	0.6547772288
138.09824814493186	2.0	CLOSE	1.4811944468674485	StimuliTable-4011-Mapping-Run4.xlsx	22	díszterem	tekintélyes	6	3	2	1123	9	3	1	2353	11	4	6	3.0	4.6	5.55	5.35	0.816129208
148.1016930440892	2.0	DISTANT	1.2057912932614272	StimuliTable-4011-Mapping-Run4.xlsx	40	kesztyű	paraszti	8	2	2	891	7	2	1	347	8	3	4	1.6	3.7	4.35	3.15	0.61781317
156.11509431400918	2.0	CLOSE	1.2725668558632606	StimuliTable-4011-Mapping-Run4.xlsx	65	olimpikon	világhírű	6	3	2	644	9	4	2	2877	9	4	4	2.25	6.3	5.75	6.9	0.8306809070000001
166.11851308633777	2.0	DISTANT	1.44511329694069	StimuliTable-4011-Mapping-Run4.xlsx	89	tudomány	genetikai	8	2	2	3986	8	3	5	1398	9	5	2	2.4	4.8	2.6	5.45	0.662602782
176.13097071669108	2.0	CLOSE	1.3919293202707197	StimuliTable-4011-Mapping-Run4.xlsx	95	végállomás	átmeneti	8	3	2	893	10	4	4	6049	8	4	7	3.4	3.25	3.15	4.3	0.847806394
188.1345188424384	2.0	CLOSE	1.1164395895211785	StimuliTable-4011-Mapping-Run4.xlsx	32	horgász	hagyományos	10	3	2	707	7	2	2	15070	11	4	6	1.3	4.15	5.5	4.8	0.8027049303
196.1478740061866	2.0	BASELINE	1.007189232263045	StimuliTable-4011-Mapping-Run4.xlsx	68	ösztöndíj	tanulmányi	6	3	2	2344	9	3	1	1823	10	4	8	3.6	6.65	4.5	6.8	1.0
204.14823645189608	2.0	CLOSE	1.3829381052855751	StimuliTable-4011-Mapping-Run4.xlsx	79	szerszám	alattomos	6	2	2	812	8	2	4	304	9	4	1	3.2	2.5	2.4	2.45	0.781269133
212.1646118257704	2.0	CLOSE	1.4385618666638038	StimuliTable-4011-Mapping-Run4.xlsx	42	kirándulás	tegnapi	6	3	2	1896	10	4	4	6241	7	3	8	2.15	6.7	5.15	6.1	0.839792311
224.1641589607461	2.0	BASELINE	1.4222582134934785	StimuliTable-4011-Mapping-Run4.xlsx	81	szőnyeg	használati	10	2	2	1303	7	2	1	1806	10	4	5	1.9	3.55	4.25	3.8	1.0
232.18055866843497	2.0	CLOSE	1.7659466505501769	StimuliTable-4011-Mapping-Run4.xlsx	29	hangszer	könnyűzenei	6	3	2	1828	8	2	3	420	11	5	1	2.1	6.1	6.2	6.25	0.7948508259999999
244.18106020108095	2.0	BASELINE	1.229636890875554	StimuliTable-4011-Mapping-Run4.xlsx	27	folyadék	elegendő	10	3	2	1438	8	3	3	9296	8	4	1	2.65	4.85	5.45	6.5	1.0
256.1966197519323	2.0	CLOSE	1.3332192632624356	StimuliTable-4011-Mapping-Run4.xlsx	77	szélvihar	váratlan	10	3	2	490	9	3	0	2782	8	3	8	4.2	6.1	5.9	6.65	0.850282848
266.2001012798828	2.0	BASELINE	1.0417937041020195	StimuliTable-4011-Mapping-Run4.xlsx	80	színdarab	humoros	8	3	2	571	9	3	1	799	7	3	7	2.85	5.95	5.95	6.8	1.0
274.2134771914061	2.0	DISTANT	1.116522324478865	StimuliTable-4011-Mapping-Run4.xlsx	52	matrica	kedvezményes	6	3	2	1479	7	3	2	3115	12	4	6	1.9	5.2	5.8	6.1	0.701929092
286.2169879199282	2.0	BASELINE	1.265059747187479	StimuliTable-4011-Mapping-Run4.xlsx	83	tananyag	iskolai	10	4	2	1192	8	3	3	5542	7	4	3	3.9	5.65	4.85	6.9	1.0
298.22953545730707	2.0	DISTANT	1.6358990817971062	StimuliTable-4011-Mapping-Run4.xlsx	72	rémálom	erőszakos	10	3	2	769	7	3	1	4257	9	4	1	6.5	4.55	5.7	6.0	0.626735747
308.2330169852576	2.0	BASELINE	0.0	StimuliTable-4011-Mapping-Run4.xlsx	55	mikrofon	vezetékes	8	0	2	1847	8	3	1	3193	9	4	8	1.25	6.45	6.75	6.25	1.0
318.246458726142	2.0	BASELINE	1.403290648413531	StimuliTable-4011-Mapping-Run4.xlsx	67	osztályzat	közepes	8	3	2	1028	10	3	3	4363	7	3	8	4.55	6.45	6.4	6.95	1.0
326.2498490663384	2.0	DISTANT	1.575751024643978	StimuliTable-4011-Mapping-Run4.xlsx	20	diktátor	rosszindulatú	6	4	2	1821	8	3	4	2105	13	5	3	6.2	5.85	5.7	6.6	0.6793145540000001
338.2623832841564	2.0	CLOSE	1.2426275597572385	StimuliTable-4011-Mapping-Run4.xlsx	66	oroszlán	csendes	10	4	2	1351	8	3	3	2305	7	2	7	2.15	5.45	5.7	6.3	0.851599276
350.2629073575954	2.0	DISTANT	1.2746042361832224	StimuliTable-4011-Mapping-Run4.xlsx	56	monitor	digitális	10	3	2	3644	7	3	3	11798	9	4	1	1.65	6.1	6.45	5.5	0.7256274220000001
360.26241402160304	2.0	BASELINE	1.1786603750551876	StimuliTable-4011-Mapping-Run4.xlsx	88	törmelék	építkezési	8	4	2	730	8	3	1	395	10	5	7	1.9	6.55	6.8	6.4	1.0
370.262863556738	2.0	CLOSE	1.2105894084379545	StimuliTable-4011-Mapping-Run4.xlsx	96	ventilátor	erőteljes	8	4	2	1165	10	4	3	3772	9	4	1	2.75	5.75	5.6	5.45	0.84082365
382.26236586627056	2.0	DISTANT	1.290379205300269	StimuliTable-4011-Mapping-Run4.xlsx	22	díszterem	miniszteri	10	3	2	1123	9	3	1	4544	10	4	7	2.6	6.6	5.9	5.45	0.636730134
392.26182181349577	2.0	DISTANT	1.690631201119686	StimuliTable-4011-Mapping-Run4.xlsx	39	készpénz	méltánytalan	8	2	2	3600	8	2	3	351	12	4	1	4.0	3.55	2.9	2.5	0.6948193309999999
402.2622774961165	2.0	CLOSE	1.074368992271047	StimuliTable-4011-Mapping-Run4.xlsx	35	kapitány	szorgalmas	8	4	2	6280	8	3	5	404	10	3	6	1.7	5.35	5.3	5.85	0.762966812
412.2617329310488	2.0	DISTANT	1.666633965440269	StimuliTable-4011-Mapping-Run4.xlsx	68	ösztöndíj	partnerségi	8	2	2	2344	9	3	1	465	11	4	3	2.05	4.7	2.1	4.3	0.680144787
424.2623049036738	2.0	BASELINE	1.4263742135372013	StimuliTable-4011-Mapping-Run4.xlsx	89	tudomány	mérnöki	10	3	2	3986	8	3	5	877	7	3	6	1.7	4.75	3.4	6.0	1.0
