onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	jitter	response	counterbalance	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
28.04644093142269	2.0	BASELINE	1.1092901073825487	StimuliTable-6588-Mapping-Run6.xlsx	53	mellény	sportos	10	3	1	909	7	2	5	700	7	2	7	1.45	5.9	6.0	6.0	1.0
40.05002596046688	2.0	BASELINE	1.3777664162480503	StimuliTable-6588-Mapping-Run6.xlsx	29	hangszer	autentikus	10	4	1	1828	8	2	3	526	10	5	1	2.0	4.6	3.7	4.7	1.0
50.06349748323191	2.0	DISTANT	1.348578245000681	StimuliTable-6588-Mapping-Run6.xlsx	79	szerszám	illegális	8	1	1	812	8	2	4	5833	9	4	1	3.8	4.1	3.65	5.05	0.606139541
62.0631171053974	2.0	BASELINE	1.108596206006041	StimuliTable-6588-Mapping-Run6.xlsx	72	rémálom	szomorú	10	2	1	769	7	3	1	3745	7	3	3	5.8	4.8	4.45	5.5	1.0
74.06373774882377	2.0	BASELINE	1.4043426597199868	StimuliTable-6588-Mapping-Run6.xlsx	88	törmelék	építkezési	10	3	1	730	8	3	1	395	10	5	7	1.9	6.55	6.8	6.4	1.0
82.06315168520086	2.0	CLOSE	1.524617873968964	StimuliTable-6588-Mapping-Run6.xlsx	6	áruházlánc	nyereséges	6	4	1	935	10	4	2	888	10	4	8	1.75	5.95	4.4	6.5	0.9131852979999999
92.06267806997494	2.0	CLOSE	1.532625275583996	StimuliTable-6588-Mapping-Run6.xlsx	2	albérlet	siralmas	8	2	1	547	8	3	1	402	8	3	5	5.05	5.45	6.05	6.0	0.7793105840000001
104.06323800663448	2.0	DISTANT	1.6126137387363997	StimuliTable-6588-Mapping-Run6.xlsx	77	szélvihar	kíméletlen	10	4	1	490	9	3	0	564	10	4	2	5.5	5.75	6.05	6.5	0.6293716429999999
116.06287965742013	2.0	BASELINE	1.2282899672718486	StimuliTable-6588-Mapping-Run6.xlsx	26	fejfájás	kellemetlen	10	4	1	1351	8	3	4	3486	11	4	1	5.85	5.5	5.25	6.7	1.0
128.07948436646984	2.0	BASELINE	1.1559528618381592	StimuliTable-6588-Mapping-Run6.xlsx	5	állatkert	egzotikus	10	4	1	2056	9	3	3	643	9	4	1	2.95	5.45	5.6	6.45	1.0
136.07988984667827	2.0	CLOSE	1.315697975391231	StimuliTable-6588-Mapping-Run6.xlsx	90	tűzijáték	nevezetes	6	1	1	1585	9	4	1	817	9	4	5	2.8	4.0	5.05	3.5	0.772080302
144.09630705635573	2.0	DISTANT	1.707278126377787	StimuliTable-6588-Mapping-Run6.xlsx	27	folyadék	aránytalan	6	1	1	1438	8	3	3	727	10	4	2	2.25	3.1	2.9	2.5	0.676598668
152.09567130027426	2.0	BASELINE	0.0	StimuliTable-6588-Mapping-Run6.xlsx	32	horgász	tradicionális	6	0	1	707	7	2	2	850	13	6	1	2.1	4.65	5.0	4.65	1.0
162.09621356281423	2.0	DISTANT	1.419291636579146	StimuliTable-6588-Mapping-Run6.xlsx	16	csengőhang	általános	8	3	1	2279	10	3	1	25132	9	4	3	2.4	5.65	4.6	5.45	0.712553442
174.0958216583822	2.0	DISTANT	1.2590524160659695	StimuliTable-6588-Mapping-Run6.xlsx	38	kerékpár	hardveres	10	2	1	3466	8	3	3	1550	9	3	5	1.65	2.65	1.5	2.4	0.6436905860000001
186.09540644459776	2.0	CLOSE	1.1712881079038198	StimuliTable-6588-Mapping-Run6.xlsx	65	olimpikon	világhírű	10	4	1	644	9	4	2	2877	9	4	4	2.25	6.3	5.75	6.9	0.8306809070000001
194.09584752919545	2.0	DISTANT	1.371026684591925	StimuliTable-6588-Mapping-Run6.xlsx	66	oroszlán	jelentéktelen	6	1	1	1351	8	3	3	1068	13	5	3	4.0	3.05	3.55	3.15	0.658192992
204.09533933416608	2.0	CLOSE	1.3072725423808151	StimuliTable-6588-Mapping-Run6.xlsx	69	pénztárca	titokzatos	8	1	1	1902	9	3	3	1438	10	4	2	2.65	3.3	3.3	3.25	0.799133718
214.09585137139584	2.0	CLOSE	1.6430116907904448	StimuliTable-6588-Mapping-Run6.xlsx	17	csillagász	türelmes	8	3	1	606	10	3	4	495	8	3	7	2.2	4.5	4.55	5.3	0.7566338779999999
224.09535726443573	2.0	BASELINE	0.0	StimuliTable-6588-Mapping-Run6.xlsx	18	csomagolás	ízléses	8	0	1	1577	10	4	4	472	7	3	7	1.35	5.8	6.1	6.05	1.0
234.09586443487933	2.0	CLOSE	1.219012078083324	StimuliTable-6588-Mapping-Run6.xlsx	87	tévéműsor	hihetetlen	8	3	1	648	9	4	1	3434	10	4	2	3.2	3.95	4.3	5.2	0.7619771956999999
244.09535752058216	2.0	CLOSE	1.4432367412700842	StimuliTable-6588-Mapping-Run6.xlsx	51	magazin	kutatási	8	4	1	7307	7	3	2	3464	8	4	6	1.7	4.85	4.8	5.1	0.882873833
254.09587903523789	2.0	BASELINE	1.083007664165052	StimuliTable-6588-Mapping-Run6.xlsx	56	monitor	kijelzős	8	4	1	3644	7	3	3	489	8	3	2	1.25	6.0	6.15	5.15	1.0
266.0954820078732	2.0	BASELINE	1.403297837379796	StimuliTable-6588-Mapping-Run6.xlsx	85	távirat	udvarias	10	3	1	635	7	3	2	446	8	4	1	2.1	4.8	4.45	5.15	1.0
274.0959020884402	2.0	DISTANT	1.5630350103856472	StimuliTable-6588-Mapping-Run6.xlsx	21	díszlet	kulturális	6	2	1	1420	7	2	3	24926	10	4	1	1.65	4.6	4.1	4.5	0.683287978
284.0953992724935	2.0	CLOSE	1.499297517708328	StimuliTable-6588-Mapping-Run6.xlsx	89	tudomány	építészeti	8	3	1	3986	8	3	5	1116	10	5	7	1.75	3.95	4.45	5.85	0.7951859240000001
292.0948042437376	2.0	CLOSE	1.3712812944031612	StimuliTable-6588-Mapping-Run6.xlsx	86	telefonszám	háztartási	6	1	1	4732	11	4	2	1415	10	4	4	2.1	4.3	3.4	4.5	0.7732623820000001
304.09541054294823	2.0	DISTANT	1.331303712358931	StimuliTable-6588-Mapping-Run6.xlsx	92	útlezárás	gyorsforgalmi	10	2	1	1291	9	4	3	882	13	4	3	2.8	5.9	5.45	6.2	0.620973349
316.0950322142889	2.0	DISTANT	1.3630008404179534	StimuliTable-6588-Mapping-Run6.xlsx	67	osztályzat	alapfokú	10	4	1	1028	10	3	3	821	8	4	4	2.6	4.3	2.9	3.95	0.713177145
324.11142662691054	2.0	CLOSE	1.2985996716706725	StimuliTable-6588-Mapping-Run6.xlsx	8	aszfalt	szabályos	6	4	1	977	7	2	4	978	9	3	5	1.1	5.1	5.6	4.75	0.777173936
332.1118505496779	2.0	CLOSE	1.4585960651274943	StimuliTable-6588-Mapping-Run6.xlsx	88	törmelék	bontási	6	3	1	730	8	3	1	388	7	3	8	2.1	6.2	5.95	6.35	0.8136036990000001
340.11521401183927	2.0	BASELINE	1.5671225992336986	StimuliTable-6588-Mapping-Run6.xlsx	64	novella	tanulságos	6	3	1	925	7	3	1	805	10	4	6	2.45	5.4	3.05	6.5	1.0
348.1286097151824	2.0	BASELINE	1.0979333316754492	StimuliTable-6588-Mapping-Run6.xlsx	65	olimpikon	legendás	6	4	1	644	9	4	2	3949	8	3	5	2.15	5.8	5.5	6.6	1.0
356.1280623297098	2.0	CLOSE	1.7776723591850896	StimuliTable-6588-Mapping-Run6.xlsx	1	akadály	reménytelen	6	3	1	6030	7	3	2	1273	11	4	4	4.8	3.9	2.9	4.5	0.8418771620000001
366.12856975629984	2.0	DISTANT	1.5619722577794164	StimuliTable-6588-Mapping-Run6.xlsx	68	ösztöndíj	partnerségi	8	2	1	2344	9	3	1	465	11	4	3	2.05	4.7	2.1	4.3	0.680144787
374.127964481675	2.0	DISTANT	1.5299482865448226	StimuliTable-6588-Mapping-Run6.xlsx	52	matrica	kedvezményes	6	1	1	1479	7	3	2	3115	12	4	6	1.9	5.2	5.8	6.1	0.701929092
382.1313338352084	2.0	CLOSE	1.2462509730394231	StimuliTable-6588-Mapping-Run6.xlsx	83	tananyag	közoktatási	6	4	1	1192	8	3	3	2515	11	5	5	4.3	5.05	4.0	6.25	0.8000201579999999
390.1447730834916	2.0	BASELINE	1.9053066677806785	StimuliTable-6588-Mapping-Run6.xlsx	14	boríték	érvénytelen	6	1	1	1364	7	3	3	1401	11	4	2	2.8	4.1	4.1	3.4	1.0
402.1483850079385	2.0	DISTANT	1.5175738400466798	StimuliTable-6588-Mapping-Run6.xlsx	3	alkatrész	karbantartási	10	4	1	2625	9	3	2	503	13	5	4	1.55	4.7	4.65	4.65	0.6785420179
414.1610048429648	2.0	BASELINE	1.6003778675949434	StimuliTable-6588-Mapping-Run6.xlsx	87	tévéműsor	félelmetes	10	3	1	648	9	4	1	1112	10	4	2	5.45	5.8	5.05	6.6	1.0
422.16439981116855	2.0	DISTANT	1.2849475654911655	StimuliTable-6588-Mapping-Run6.xlsx	55	mikrofon	köztéri	6	1	1	1847	8	3	1	615	7	3	2	1.65	5.9	5.5	5.45	0.60200268
434.1779827577411	2.0	BASELINE	1.5116857961293135	StimuliTable-6588-Mapping-Run6.xlsx	31	helyezés	végleges	10	1	1	5834	8	3	4	7802	8	3	3	2.95	4.45	3.65	5.2	1.0
444.17751529003726	2.0	CLOSE	0.0	StimuliTable-6588-Mapping-Run6.xlsx	54	menetrend	változatlan	8	0	1	4833	9	3	2	3262	11	4	2	1.8	6.25	4.95	7.0	0.812076867
456.17813465272775	2.0	DISTANT	1.5116589007266157	StimuliTable-6588-Mapping-Run6.xlsx	5	állatkert	alternatív	10	2	1	2056	9	3	3	4055	10	4	1	2.15	2.55	2.75	2.7	0.67844069
464.1775298903958	2.0	CLOSE	1.6478795024522697	StimuliTable-6588-Mapping-Run6.xlsx	9	baktérium	létfontosságú	6	3	1	1448	9	4	1	894	13	5	3	2.3	4.05	2.95	4.8	0.750643611
