onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	jitter	response	counterbalance	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
24.03025023289956	2.0	BASELINE	1.4103288342776068	StimuliTable-9824-Mapping-Run5.xlsx	39	készpénz	csekély	6	2	1	3600	8	2	3	3258	7	2	2	4.95	4.5	5.7	6.15	1.0
34.03077815257711	2.0	BASELINE	0.9381066049354558	StimuliTable-9824-Mapping-Run5.xlsx	41	királynő	szépséges	8	4	1	2060	8	3	2	414	9	3	8	2.6	5.15	6.55	6.7	1.0
44.03031375744104	2.0	CLOSE	1.226360994089191	StimuliTable-9824-Mapping-Run5.xlsx	68	ösztöndíj	képzési	8	3	1	2344	9	3	1	2239	7	3	7	3.6	5.6	4.35	6.55	0.819112897
56.029949772066175	2.0	BASELINE	1.706105758628837	StimuliTable-9824-Mapping-Run5.xlsx	30	háziorvos	elégedetlen	10	1	1	2011	9	4	4	2000	11	5	3	4.1	5.6	5.2	5.6	1.0
66.04648792534135	2.0	CLOSE	1.0336887548510276	StimuliTable-9824-Mapping-Run5.xlsx	8	aszfalt	szabályos	8	4	1	977	7	2	4	978	9	3	5	1.1	5.1	5.6	4.75	0.777173936
74.04691389837535	2.0	CLOSE	0.9296811503481875	StimuliTable-9824-Mapping-Run5.xlsx	29	hangszer	könnyűzenei	6	4	1	1828	8	2	3	420	11	5	1	2.1	6.1	6.2	6.25	0.7948508259999999
82.04632552792464	2.0	BASELINE	1.1776748122392746	StimuliTable-9824-Mapping-Run5.xlsx	45	kolostor	hajdani	6	4	1	1099	8	3	4	1367	7	3	7	2.3	4.65	5.65	5.75	1.0
94.04697895979916	2.0	DISTANT	1.0577458572661271	StimuliTable-9824-Mapping-Run5.xlsx	92	útlezárás	gyorsforgalmi	10	1	1	1291	9	4	3	882	13	4	3	2.8	5.9	5.45	6.2	0.620973349
106.0466180481926	2.0	CLOSE	1.5616711872426094	StimuliTable-9824-Mapping-Run5.xlsx	87	tévéműsor	hihetetlen	10	2	1	648	9	4	1	3434	10	4	2	3.2	3.95	4.3	5.2	0.7619771956999999
114.04704453351953	2.0	BASELINE	1.097431789883558	StimuliTable-9824-Mapping-Run5.xlsx	1	akadály	lehetetlen	6	3	1	6030	7	3	2	5822	10	4	6	5.4	4.65	3.6	6.3	1.0
122.05047076039408	2.0	DISTANT	1.269845079521474	StimuliTable-9824-Mapping-Run5.xlsx	86	telefonszám	térségbeli	6	1	1	4732	11	4	2	1020	10	4	1	1.6	5.45	3.15	4.9	0.631895483
130.0628862221638	2.0	CLOSE	1.1610239541296323	StimuliTable-9824-Mapping-Run5.xlsx	69	pénztárca	titokzatos	6	1	1	1902	9	3	3	1438	10	4	2	2.65	3.3	3.3	3.25	0.799133718
142.06652581977687	2.0	BASELINE	1.2772339058137732	StimuliTable-9824-Mapping-Run5.xlsx	56	monitor	kijelzős	10	4	1	3644	7	3	3	489	8	3	2	1.25	6.0	6.15	5.15	1.0
154.0801764240423	2.0	CLOSE	1.3680791228871385	StimuliTable-9824-Mapping-Run5.xlsx	46	költészet	varázslatos	10	3	1	1207	9	3	4	651	11	4	5	2.4	3.15	3.5	5.4	0.770221233
162.08360265091687	2.0	BASELINE	1.060633406275883	StimuliTable-9824-Mapping-Run5.xlsx	27	folyadék	elegendő	6	4	1	1438	8	3	3	9296	8	4	1	2.65	4.85	5.45	6.5	1.0
170.09602912702394	2.0	DISTANT	1.8077680780479568	StimuliTable-9824-Mapping-Run5.xlsx	63	napsütés	hosszas	6	3	1	3340	8	3	2	1776	7	2	7	2.9	5.35	6.4	6.35	0.72304523
