timestamp	groupanalysis_type	analysis	cluster_no	voxels	peak_x_mm	peak_y_mm	peak_z_mm	peak_z	roi_labels
2025-12-14T23:09:39Z	HC	ENC_ERP_ALLRS	1	1	59.000000	105.000000	58.000000	1.677817	HEAD_DGCA23_R
2025-12-14T23:09:54Z	HC	ENC_ERP_ALLRS	2	1	108.000000	99.000000	58.000000	1.677309	SUB_L
2025-12-14T23:10:09Z	HC	ENC_ERP_ALLRS	3	1	120.000000	105.000000	51.000000	1.746380	HEAD_CA1_L
2025-12-14T23:10:24Z	HC	ENC_ERP_ALLRS	4	1	56.000000	111.000000	50.000000	1.646908	HEAD_CA1_R
2025-12-14T23:10:38Z	HC	ENC_ERP_ALLRS	5	1	114.000000	107.000000	49.000000	2.113355	HEAD_SUB_L
2025-12-14T23:10:52Z	HC	ENC_ERP_ALLRS	6	3	125.000000	102.000000	60.000000	2.003145	CA1_L
2025-12-14T23:11:07Z	HC	ENC_ERP_ALLRS	7	7	108.000000	92.000000	68.000000	2.159346	SUB_L
2025-12-14T23:11:22Z	HC	ENC_ERP_ALLRS	8	7	56.000000	109.000000	57.000000	1.988940	HEAD_CA1_R;HEAD_DGCA23_R
2025-12-14T23:11:37Z	HC	ENC_ERP_ALLRS	9	7	60.000000	113.000000	56.000000	1.986810	HEAD_DGCA23_R
2025-12-14T23:11:52Z	HC	ENC_ERP_ALLRS	10	8	113.000000	116.000000	44.000000	2.121078	HEAD_DGCA23_L;HEAD_SUB_L
2025-12-14T23:12:07Z	HC	ENC_ERP_ALLRS	11	11	110.000000	94.000000	65.000000	2.517312	SUB_L
2025-12-14T23:12:22Z	HC	ENC_ERP_ALLRS	12	12	116.000000	97.000000	63.000000	2.502551	DGCA23_L
2025-12-14T23:12:36Z	HC	ENC_ERP_ALLRS	13	19	119.000000	114.000000	53.000000	2.147212	HEAD_CA1_L;HEAD_DGCA23_L
2025-12-14T23:12:51Z	HC	ENC_ERP_ALLRS	14	172	111.000000	110.000000	53.000000	3.022645	HEAD_DGCA23_L;HEAD_SUB_L
2025-12-14T23:13:05Z	HC	ENC_ERP_ALLRS	15	230	69.000000	113.000000	54.000000	2.962072	HEAD_DGCA23_R;HEAD_SUB_R
