onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	order	response	correctness	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
24.06319215637632	1.6594967793353137	DISTANT	1.6594967793353137	14_2	88	törmelék	életveszélyes		old	0	730	8	3	1	3907	13	5	3	4.75	5.8	6.2	6.4	0.657350659
34.063698814527015	1.7634539126738673	FOIL	1.7634539126738673	14_2	101	tartozás	nagymértékű		new	1	5559	8	3	4	437	11	4	1	5.25	5.1	4.8	6.65	0.0
42.063119154568994	1.34746247001749	DISTANT	1.34746247001749	14_2	89	tudomány	genetikai		new	1	3986	8	3	5	1398	9	5	2	2.4	4.8	2.6	5.45	0.662602782
46.0633069100877	1.4514687835326183	CLOSE	1.4514687835326183	14_2	1	akadály	reménytelen		new	1	6030	7	3	2	1273	11	4	4	4.8	3.9	2.9	4.5	0.8418771620000001
54.06371469561418	1.275194524190738	CLOSE	1.275194524190738	14_2	2	albérlet	siralmas		new	1	547	8	3	1	402	8	3	5	5.05	5.45	6.05	6.0	0.7793105840000001
60.067017451016	1.200005737686297	TARGET	1.200005737686297	14_2	63	napsütés	felhőtlen		old	1	3340	8	3	2	612	9	3	1	3.0	6.1	6.45	6.6	0.824103177
66.08031786778884	1.2427448371599894	TARGET	1.2427448371599894	14_2	64	novella	tanulságos		old	1	925	7	3	1	805	10	4	6	2.45	5.4	3.05	6.5	0.783685148
74.07972796195827	1.5467807100067148	FOIL	1.5467807100067148	14_2	102	tehetség	példaértékű		old	0	4105	8	3	4	885	11	5	3	3.05	4.05	3.8	6.1	0.0
82.08013344217034	1.2990827643225202	DISTANT	1.2990827643225202	14_2	90	tűzijáték	verhetetlen		new	1	1585	9	4	1	357	11	4	2	2.4	3.2	4.55	3.15	0.664982438
90.07954789084032	1.266767554305261	FOIL	1.266767554305261	14_2	103	testmozgás	komplex		new	1	624	10	3	3	2818	7	2	2	2.15	5.2	5.7	6.05	0.0
100.08304711074744	1.5193217850464862	TARGET	1.5193217850464862	14_2	65	olimpikon	legendás		old	1	644	9	4	2	3949	8	3	5	2.15	5.8	5.5	6.6	0.8306809070000001
108.0964622812462	1.3540910340234404	TARGET	1.3540910340234404	14_2	66	oroszlán	nyugodt		old	1	1351	8	3	3	2967	7	2	2	2.1	5.9	6.5	6.35	0.851599276
118.09695971811016	1.874114660982741	FOIL	1.874114660982741	14_2	104	testrész	előnytelen		new	1	636	8	2	2	473	10	4	1	4.75	4.15	5.1	5.95	0.0
122.11316304530192	1.5134391202154802	DISTANT	1.5134391202154802	14_2	91	újságcikk	igazságtalan		new	1	503	9	3	0	1736	12	5	2	5.75	5.35	4.5	5.75	0.626544654
130.1135687816568	1.6094608291459735	CLOSE	1.6094608291459735	14_2	3	alkatrész	technikai		new	1	2625	9	3	2	7859	9	4	3	2.15	4.85	4.45	5.45	0.8308419585
136.1128674520296	1.3451653465308482	FOIL	1.3451653465308482	14_2	105	tiltakozás	egyhangú		new	1	5386	10	4	4	892	8	3	2	4.2	5.3	4.75	6.55	0.0
140.11608952120878	1.3420032156573145	CLOSE	1.3420032156573145	14_2	4	alkohol	biztonságos		new	1	3138	7	3	2	8412	11	4	6	3.5	2.55	2.7	3.1	0.75390619
150.12958358488686	1.5607811756781302	FOIL	1.5607811756781302	14_2	106	tinédzser	kíváncsi		new	1	795	9	3	2	5894	8	3	2	2.1	5.25	5.55	6.8	0.0
154.12978133012075	1.4167811428778805	DISTANT	1.4167811428778805	14_2	92	útlezárás	gyorsforgalmi		old	0	1291	9	4	3	882	13	4	3	2.8	5.9	5.45	6.2	0.620973349
164.12928850390017	1.6007846285356209	CLOSE	1.6007846285356209	14_2	5	állatkert	különleges		new	1	2056	9	3	3	12581	10	4	1	2.5	4.8	5.2	5.4	0.8002586359999999
168.12951032693672	1.8887672761338763	TARGET	1.8887672761338763	14_2	67	osztályzat	közepes		old	1	1028	10	3	3	4363	7	3	8	4.55	6.45	6.4	6.95	0.816440403
180.1330991981813	1.541326322418172	CLOSE	1.541326322418172	14_2	6	áruházlánc	nyereséges		old	0	935	10	4	2	888	10	4	8	1.75	5.95	4.4	6.5	0.9131852979999999
188.14652640756685	1.504142788457102	DISTANT	1.504142788457102	14_2	93	útmutatás	lelkiismereti		new	1	703	9	4	2	476	13	6	6	3.5	3.7	2.5	5.05	0.6710424423
194.14581252673813	1.6001186471403344	DISTANT	1.6001186471403344	14_2	94	vacsora	ügyészségi		new	1	2517	7	3	1	1538	10	4	4	2.2	4.95	4.9	4.5	0.6062234639999999
202.1462157016358	1.656123327455134	FOIL	1.656123327455134	14_2	107	titkárság	egyszemélyes		new	1	1040	9	3	3	628	12	4	1	1.5	4.65	5.45	5.4	0.0
210.1456260519626	1.496141278228606	TARGET	1.496141278228606	14_2	68	ösztöndíj	tanulmányi		old	1	2344	9	3	1	1823	10	4	8	3.6	6.65	4.5	6.8	0.819112897
214.14583967829824	1.5520949853525965	FOIL	1.5520949853525965	14_2	108	üdvözlet	kölcsönös		new	1	726	8	3	1	2208	9	3	4	2.65	5.8	5.3	6.5	0.0
224.14633916433377	1.4001290466985663	FOIL	1.4001290466985663	14_2	109	ügyintézés	zökkenőmentes		new	1	1849	10	4	3	887	13	5	1	1.9	5.55	4.55	6.5	0.0
