onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	jitter	response	counterbalance	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
24.086250958309392	2.0	BASELINE	1.3724438736389857	StimuliTable-8236-Mapping-Run8.xlsx	1	akadály	lehetetlen	6	4	1	6030	7	3	2	5822	10	4	6	5.4	4.65	3.6	6.3	1.0
34.098795006044384	2.0	DISTANT	1.2232990087359212	StimuliTable-8236-Mapping-Run8.xlsx	99	zeneszerző	rendkívüli	8	4	1	2295	10	4	1	13622	10	4	2	3.3	5.4	4.8	6.05	0.714982808
42.099207659419335	2.0	BASELINE	1.1269788983263425	StimuliTable-8236-Mapping-Run8.xlsx	19	diáklány	ártatlan	6	1	1	819	8	3	4	2035	8	3	5	2.8	5.3	5.35	6.6	1.0
54.1158503208062	2.0	BASELINE	1.030557865859009	StimuliTable-8236-Mapping-Run8.xlsx	67	osztályzat	közepes	10	4	1	1028	10	3	3	4363	7	3	8	4.55	6.45	6.4	6.95	1.0
64.11939437546243	2.0	CLOSE	0.931073823456245	StimuliTable-8236-Mapping-Run8.xlsx	41	királynő	gyönyörű	8	4	1	2060	8	3	2	4450	8	3	6	2.95	5.7	6.7	6.6	0.846518397
72.13280983646837	2.0	CLOSE	1.517898167592648	StimuliTable-8236-Mapping-Run8.xlsx	79	szerszám	alattomos	6	1	1	812	8	2	4	304	9	4	1	3.2	2.5	2.4	2.45	0.781269133
82.13234287985688	2.0	DISTANT	0.973623995676462	StimuliTable-8236-Mapping-Run8.xlsx	3	alkatrész	karbantartási	8	1	1	2625	9	3	2	503	13	5	4	1.55	4.7	4.65	4.65	0.6785420179
94.14899066419456	2.0	CLOSE	1.0372353709753952	StimuliTable-8236-Mapping-Run8.xlsx	54	menetrend	változatlan	10	4	1	4833	9	3	2	3262	11	4	2	1.8	6.25	4.95	7.0	0.812076867
102.1494143318996	2.0	BASELINE	1.013208237804065	StimuliTable-8236-Mapping-Run8.xlsx	9	baktérium	növényi	6	4	1	1448	9	4	1	968	7	3	7	2.25	4.75	2.95	5.85	1.0
114.16604316133451	2.0	CLOSE	0.964577896069386	StimuliTable-8236-Mapping-Run8.xlsx	58	műanyag	értelmetlen	10	1	1	3590	7	3	1	1912	11	4	2	3.0	3.65	3.75	2.75	0.908448935
122.16547528267256	2.0	DISTANT	0.8922979823546484	StimuliTable-8236-Mapping-Run8.xlsx	64	novella	körülményes	6	1	1	925	7	3	1	379	11	4	6	3.1	3.75	2.55	3.95	0.6815447809999999
132.18200856915064	2.0	DISTANT	1.2279216998576885	StimuliTable-8236-Mapping-Run8.xlsx	77	szélvihar	kíméletlen	8	4	1	490	9	3	0	564	10	4	2	5.5	5.75	6.05	6.5	0.6293716429999999
142.18254033103585	2.0	BASELINE	1.1956604541555862	StimuliTable-8236-Mapping-Run8.xlsx	2	albérlet	szegényes	8	1	1	547	8	3	1	439	9	3	7	4.5	5.55	6.5	6.05	1.0
154.1991801748081	2.0	BASELINE	0.9392654155235504	StimuliTable-8236-Mapping-Run8.xlsx	80	színdarab	humoros	10	4	1	571	9	3	1	799	7	3	7	2.85	5.95	5.95	6.8	1.0
164.20272064339952	2.0	DISTANT	1.3677691846023663	StimuliTable-8236-Mapping-Run8.xlsx	89	tudomány	genetikai	8	1	1	3986	8	3	5	1398	9	5	2	2.4	4.8	2.6	5.45	0.662602782
172.2151407158235	2.0	CLOSE	0.7626415758422809	StimuliTable-8236-Mapping-Run8.xlsx	66	oroszlán	csendes	6	4	1	1351	8	3	3	2305	7	2	7	2.15	5.45	5.7	6.3	0.851599276
184.21879055933096	2.0	CLOSE	1.3190919679109356	StimuliTable-8236-Mapping-Run8.xlsx	53	mellény	szabadidős	10	1	1	909	7	2	5	608	10	4	1	2.05	4.15	4.65	4.85	0.7459257840000001
196.23243014925535	2.0	BASELINE	1.089936918593594	StimuliTable-8236-Mapping-Run8.xlsx	46	költészet	mágikus	10	1	1	1207	9	3	4	454	7	3	1	2.6	3.0	3.15	3.85	1.0
208.23206949379528	2.0	CLOSE	1.6901987524106517	StimuliTable-8236-Mapping-Run8.xlsx	85	távirat	kulturált	10	1	1	635	7	3	2	578	9	3	1	1.7	3.45	2.2	3.7	0.7990051509999999
218.23260202412348	2.0	DISTANT	1.545652756925847	StimuliTable-8236-Mapping-Run8.xlsx	1	akadály	képzeletbeli	8	1	1	6030	7	3	2	646	12	5	1	3.85	3.6	3.95	6.0	0.681170285
230.2322249752324	2.0	DISTANT	1.2419409001449822	StimuliTable-8236-Mapping-Run8.xlsx	7	ásványvíz	nagysikerű	10	1	1	963	9	3	1	627	10	4	1	1.35	4.75	4.35	5.75	0.66301918
240.2317628854289	2.0	CLOSE	1.137694822464255	StimuliTable-8236-Mapping-Run8.xlsx	68	ösztöndíj	képzési	8	1	1	2344	9	3	1	2239	7	3	7	3.6	5.6	4.35	6.55	0.819112897
248.2321891146057	2.0	BASELINE	0.8019950292000431	StimuliTable-8236-Mapping-Run8.xlsx	62	nagymama	kedvenc	6	1	1	1874	8	3	1	9838	7	2	3	3.25	6.0	5.9	6.8	1.0
