timestamp	groupanalysis_type	analysis	cluster_no	voxels	peak_x_mm	peak_y_mm	peak_z_mm	peak_z	roi_labels
2025-12-14T22:43:55Z	HC	REC_MEMORY_TARGvFOIL	1	1	111.000000	98.000000	61.000000	1.709157	SUB_L
2025-12-14T22:44:10Z	HC	REC_MEMORY_TARGvFOIL	2	1	56.000000	108.000000	58.000000	1.706667	HEAD_CA1_R
2025-12-14T22:44:25Z	HC	REC_MEMORY_TARGvFOIL	3	1	58.000000	112.000000	55.000000	1.733492	HEAD_DGCA23_R
2025-12-14T22:44:39Z	HC	REC_MEMORY_TARGvFOIL	4	1	55.000000	111.000000	52.000000	1.822679	HEAD_CA1_R
2025-12-14T22:44:55Z	HC	REC_MEMORY_TARGvFOIL	5	1	122.000000	113.000000	50.000000	1.772259	HEAD_CA1_L
2025-12-14T22:45:10Z	HC	REC_MEMORY_TARGvFOIL	6	1	60.000000	114.000000	46.000000	1.666512	HEAD_SUB_R
2025-12-14T22:45:24Z	HC	REC_MEMORY_TARGvFOIL	7	1	116.000000	115.000000	44.000000	1.690900	HEAD_SUB_L
2025-12-14T22:45:39Z	HC	REC_MEMORY_TARGvFOIL	8	2	115.000000	88.000000	69.000000	1.908599	DGCA23_L;TAIL_CA1_L
2025-12-14T22:45:53Z	HC	REC_MEMORY_TARGvFOIL	9	2	73.000000	94.000000	66.000000	1.849427	SUB_R
2025-12-14T22:46:08Z	HC	REC_MEMORY_TARGvFOIL	10	2	63.000000	104.000000	55.000000	1.847783	HEAD_CA1_R
2025-12-14T22:46:22Z	HC	REC_MEMORY_TARGvFOIL	11	5	114.000000	109.000000	48.000000	2.206091	HEAD_SUB_L
2025-12-14T22:46:36Z	HC	REC_MEMORY_TARGvFOIL	12	7	111.000000	115.000000	45.000000	2.202078	HEAD_SUB_L
2025-12-14T22:46:51Z	HC	REC_MEMORY_TARGvFOIL	13	10	114.000000	112.000000	46.000000	2.494399	HEAD_SUB_L
2025-12-14T22:47:06Z	HC	REC_MEMORY_TARGvFOIL	14	17	119.000000	95.000000	62.000000	2.080665	CA1_L;DGCA23_L;SUB_L
2025-12-14T22:47:23Z	HC	REC_MEMORY_FOILvTARG	1	1	70.000000	89.000000	71.000000	1.652108	TAIL_SUB_R
2025-12-14T22:47:38Z	HC	REC_MEMORY_FOILvTARG	2	1	117.000000	116.000000	47.000000	1.669896	HEAD_CA1_L
2025-12-14T22:47:52Z	HC	REC_MEMORY_FOILvTARG	3	1	110.000000	115.000000	48.000000	1.696296	HEAD_DGCA23_L
2025-12-14T22:48:06Z	HC	REC_MEMORY_FOILvTARG	4	1	70.000000	116.000000	49.000000	1.661058	HEAD_DGCA23_R
2025-12-14T22:48:21Z	HC	REC_MEMORY_FOILvTARG	5	1	110.000000	117.000000	49.000000	1.755873	HEAD_DGCA23_L
2025-12-14T22:48:35Z	HC	REC_MEMORY_FOILvTARG	6	1	65.000000	91.000000	68.000000	1.752530	SUB_R
2025-12-14T22:48:49Z	HC	REC_MEMORY_FOILvTARG	7	1	64.000000	88.000000	72.000000	1.652123	TAIL_DGCA23_R
2025-12-14T22:49:03Z	HC	REC_MEMORY_FOILvTARG	8	2	112.000000	116.000000	51.000000	1.848336	HEAD_DGCA23_L
2025-12-14T22:49:18Z	HC	REC_MEMORY_FOILvTARG	9	2	118.000000	88.000000	70.000000	2.220936	TAIL_CA1_L;TAIL_DGCA23_L
2025-12-14T22:49:33Z	HC	REC_MEMORY_FOILvTARG	10	3	56.000000	102.000000	59.000000	1.942057	DGCA23_R
2025-12-14T22:49:48Z	HC	REC_MEMORY_FOILvTARG	11	3	62.000000	110.000000	56.000000	2.107255	HEAD_DGCA23_R
2025-12-14T22:50:03Z	HC	REC_MEMORY_FOILvTARG	12	5	110.000000	108.000000	55.000000	1.915451	HEAD_DGCA23_L
2025-12-14T22:50:16Z	HC	REC_MEMORY_FOILvTARG	13	7	116.000000	95.000000	65.000000	2.165302	DGCA23_L
2025-12-14T22:50:32Z	HC	REC_MEMORY_FOILvTARG	14	12	115.000000	103.000000	57.000000	2.261331	DGCA23_L;HEAD_CA1_L;HEAD_DGCA23_L;HEAD_SUB_L;SUB_L
2025-12-14T22:50:48Z	HC	REC_MEMORY_FOILvTARG	15	12	68.000000	110.000000	50.000000	2.533237	HEAD_DGCA23_R;HEAD_SUB_R
2025-12-14T22:51:03Z	HC	REC_MEMORY_FOILvTARG	16	24	58.000000	96.000000	60.000000	2.305921	CA1_R;SUB_R
2025-12-14T22:51:18Z	HC	REC_MEMORY_FOILvTARG	17	32	119.000000	109.000000	57.000000	2.703494	HEAD_DGCA23_L
2025-12-14T22:51:33Z	HC	REC_MEMORY_FOILvTARG	18	37	62.000000	109.000000	51.000000	2.419541	HEAD_DGCA23_R;HEAD_SUB_R
2025-12-14T22:51:50Z	HC	RECRESP_FTEST_ALCORR_MEMORY	1	1	119.000000	93.000000	63.000000	1.694601	DGCA23_L
2025-12-14T22:52:05Z	HC	RECRESP_FTEST_ALCORR_MEMORY	2	1	62.000000	114.000000	45.000000	1.739427	HEAD_SUB_R
2025-12-14T22:52:19Z	HC	RECRESP_FTEST_ALCORR_MEMORY	3	3	115.000000	89.000000	69.000000	1.688996	DGCA23_L
2025-12-14T22:52:33Z	HC	RECRESP_FTEST_ALCORR_MEMORY	4	10	114.000000	107.000000	56.000000	2.295827	HEAD_DGCA23_L
2025-12-14T22:52:50Z	HC	REC_FOILCR_LURECR	1	1	113.000000	109.000000	48.000000	1.692535	HEAD_SUB_L
