onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	jitter	response	counterbalance	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
28.036481017057667	2.0	CLOSE	1.6128235557116568	StimuliTable-4298-Mapping-Run4.xlsx	16	csengőhang	változatos	10	2	1	2279	10	3	1	2172	10	4	6	2.55	4.0	4.4	5.35	0.843068182
36.04989827108511	2.0	CLOSE	1.471674330168753	StimuliTable-4298-Mapping-Run4.xlsx	78	szemüveg	ideális	6	3	1	1594	8	3	4	3414	7	4	1	1.9	5.3	5.0	5.5	0.84095335
48.05353172116156	2.0	DISTANT	1.5240103555261155	StimuliTable-4298-Mapping-Run4.xlsx	31	helyezés	időszaki	10	1	1	5834	8	3	4	796	8	4	1	2.25	2.55	1.65	2.85	0.617949784
56.06596383251599	2.0	DISTANT	1.519015738464077	StimuliTable-4298-Mapping-Run4.xlsx	3	alkatrész	karbantartási	6	4	1	2625	9	3	2	503	13	5	4	1.55	4.7	4.65	4.65	0.6785420179
64.07040056065307	2.0	BASELINE	1.507481935856049	StimuliTable-4298-Mapping-Run4.xlsx	47	kommentár	terjedelmes	6	2	1	2449	9	3	2	699	11	4	5	2.2	4.4	4.0	5.3	1.0
74.08292898340733	2.0	DISTANT	1.478326988988556	StimuliTable-4298-Mapping-Run4.xlsx	44	kollégium	közüzemi	8	2	1	3139	9	4	3	1019	8	4	4	2.75	4.6	4.35	3.9	0.6578273179999999
86.08656294578395	2.0	BASELINE	1.330797389236977	StimuliTable-4298-Mapping-Run4.xlsx	42	kirándulás	hétvégi	10	3	1	1896	10	4	4	4177	7	3	5	2.95	6.05	6.3	6.9	1.0
94.0999894211127	2.0	BASELINE	1.3976544075412676	StimuliTable-4298-Mapping-Run4.xlsx	97	világítás	hangulatos	6	2	1	1393	9	4	5	1112	10	4	5	2.95	5.9	6.4	6.85	1.0
102.09941616335708	2.0	CLOSE	1.725591143243946	StimuliTable-4298-Mapping-Run4.xlsx	49	lépcsőház	földszinti	6	2	1	634	9	3	1	355	10	3	4	1.5	5.85	5.2	5.6	0.757668078
112.09994843754976	2.0	BASELINE	1.66178996275994	StimuliTable-4298-Mapping-Run4.xlsx	52	matrica	fizetős	8	1	1	1479	7	3	2	2152	7	3	2	2.75	5.8	5.4	5.6	1.0
120.09937184986484	2.0	DISTANT	1.285452393363812	StimuliTable-4298-Mapping-Run4.xlsx	13	bölcsőde	lokális	6	1	1	1219	8	3	1	578	7	3	3	1.75	4.7	5.35	6.55	0.6315799952000001
130.09991565068776	2.0	DISTANT	1.1816732722800225	StimuliTable-4298-Mapping-Run4.xlsx	100	zöldség	korlátlan	8	4	1	2637	7	2	3	1924	9	3	2	2.05	3.9	4.75	3.95	0.7183503509999999
138.0993329154735	2.0	CLOSE	1.061847032397054	StimuliTable-4298-Mapping-Run4.xlsx	89	tudomány	építészeti	6	4	1	3986	8	3	5	1116	10	5	7	1.75	3.95	4.45	5.85	0.7951859240000001
148.10286646809254	2.0	DISTANT	1.7542325146787334	StimuliTable-4298-Mapping-Run4.xlsx	54	menetrend	naprakész	8	4	1	4833	9	3	2	816	9	3	1	2.3	5.35	4.4	6.1	0.7033958440000001
156.11629243113566	2.0	CLOSE	1.4772242746694246	StimuliTable-4298-Mapping-Run4.xlsx	18	csomagolás	tetszetős	6	3	1	1577	10	4	4	725	9	3	1	2.1	5.45	6.35	6.25	0.890869737
166.1198226538254	2.0	DISTANT	1.545516230398789	StimuliTable-4298-Mapping-Run4.xlsx	76	szakadék	kedvezőtlen	8	2	1	1478	8	3	4	3202	11	4	2	3.95	2.85	3.3	2.35	0.659476936
176.13235876099498	2.0	CLOSE	1.444364668772323	StimuliTable-4298-Mapping-Run4.xlsx	38	kerékpár	intelligens	8	1	1	3466	8	3	3	2053	11	4	1	1.9	3.15	2.8	3.4	0.787231982
188.1360086045024	2.0	CLOSE	1.6170333373302128	StimuliTable-4298-Mapping-Run4.xlsx	30	háziorvos	türelmetlen	10	2	1	2011	9	4	4	480	11	4	1	4.55	6.25	5.95	6.6	0.7620039581999999
196.1494194548577	2.0	BASELINE	1.323883972436306	StimuliTable-4298-Mapping-Run4.xlsx	26	fejfájás	kellemetlen	6	4	1	1351	8	3	4	3486	11	4	1	5.85	5.5	5.25	6.7	1.0
204.15284645017528	2.0	CLOSE	0.0	StimuliTable-4298-Mapping-Run4.xlsx	58	műanyag	értelmetlen	6	0	1	3590	7	3	1	1912	11	4	2	3.0	3.65	3.75	2.75	0.908448935
212.16628855049203	2.0	CLOSE	1.4270229812827893	StimuliTable-4298-Mapping-Run4.xlsx	51	magazin	kutatási	6	4	1	7307	7	3	2	3464	8	4	6	1.7	4.85	4.8	5.1	0.882873833
224.1659120139084	2.0	BASELINE	1.242905294886441	StimuliTable-4298-Mapping-Run4.xlsx	7	ásványvíz	minőségi	10	2	1	963	9	3	1	4832	8	4	2	1.85	6.05	5.25	6.4	1.0
232.1823438660358	2.0	CLOSE	1.666518698897562	StimuliTable-4298-Mapping-Run4.xlsx	86	telefonszám	háztartási	6	1	1	4732	11	4	2	1415	10	4	4	2.1	4.3	3.4	4.5	0.7732623820000001
