onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	order	response	correctness	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
22.08295889234796	2.0	FILLER	1.6052706400187162	8_2	101	tartozás	nagymértékű	1	good		5559	8	3	4	437	11	4	1	5.25	5.1	4.8	6.65	0.0
26.08314075514681	2.0	REPEAT	1.1413698930500686	8_2	34	kánikula	tavaszi	1	good	1	1200	8	4	1	5301	7	3	7	4.05	5.35	5.25	5.1	1.0
30.09931937207693	2.0	REPEAT	1.1246920499324915	8_2	35	kapitány	rutinos	1	good	1	6280	8	3	5	669	7	3	6	1.95	6.0	5.15	6.1	1.0
36.09958960482618	2.0	CLOSE	1.1406590912702086	8_2	18	csomagolás	ízléses	1	good	1	1577	10	4	4	472	7	3	7	1.35	5.8	6.1	6.05	1.0
42.09981321922351	2.0	FILLER	1.5806177290087362	8_2	102	tehetség	példaértékű	1	good		4105	8	3	4	885	11	5	3	3.05	4.05	3.8	6.1	0.0
48.103108009596326	2.0	DISTANT	1.3372735231841943	8_2	93	útmutatás	erkölcsi	1	good	0	703	9	4	2	4377	8	3	7	3.2	4.1	2.7	6.3	1.0
54.11637118658109	2.0	REPEAT	1.1160084855637251	8_2	36	kastély	csodálatos	1	good	1	2771	7	2	4	3144	10	4	8	2.85	6.0	6.75	6.35	1.0
64.11576668488851	2.0	CLOSE	1.5719869304684837	8_2	19	diáklány	ártatlan	1	no-good	1	819	8	3	4	2035	8	3	5	2.8	5.3	5.35	6.6	1.0
74.13222014517305	2.0	FILLER	1.5153722731465675	8_2	103	testmozgás	komplex	1	good		624	10	3	3	2818	7	2	2	2.15	5.2	5.7	6.05	0.0
80.13249575696318	2.0	FILLER	1.7393829267202818	8_2	104	testrész	előnytelen	1	good		636	8	2	2	473	10	4	1	4.75	4.15	5.1	5.95	0.0
88.13579387721802	2.0	FILLER	1.2559314167228877	8_2	105	tiltakozás	egyhangú	1	good		5386	10	4	4	892	8	3	2	4.2	5.3	4.75	6.55	0.0
94.14910572171176	2.0	REPEAT	1.066664241830949	8_2	37	képregény	izgalmas	1	good	1	1156	9	3	5	6482	8	3	7	3.45	6.15	5.8	6.7	1.0
100.1483459962783	2.0	REPEAT	1.4907214112972724	8_2	38	kerékpár	elektromos	1	good	1	3466	8	3	3	4185	10	4	2	1.75	6.55	6.7	6.95	1.0
108.14867053172202	2.0	DISTANT	1.4107286755624957	8_2	94	vacsora	zártkörű	1	good	1	2517	7	3	1	562	8	3	1	2.45	5.85	5.4	6.9	1.0
114.16496979284602	2.0	FILLER	1.2020247220698366	8_2	106	tinédzser	kíváncsi	1	good		795	9	3	2	5894	8	3	2	2.1	5.25	5.55	6.8	0.0
122.1653050863697	2.0	REPEAT	1.4020192405714624	8_2	39	készpénz	csekély	1	good	1	3600	8	2	3	3258	7	2	2	4.95	4.5	5.7	6.15	1.0
130.16864470208202	2.0	CLOSE	1.1023129361819883	8_2	20	diktátor	kegyetlen	1	good	1	1821	8	3	4	1493	9	3	2	6.0	5.8	6.2	6.7	1.0
138.1809965159191	2.0	CLOSE	1.3213646267140575	8_2	21	díszlet	színpadi	1	good	1	1420	7	2	3	1542	8	3	5	2.1	5.9	6.35	6.75	1.0
148.18142940060716	2.0	FILLER	1.6974228248582222	8_2	107	titkárság	egyszemélyes	1	no-good		1040	9	3	3	628	12	4	1	1.5	4.65	5.45	5.4	0.0
156.19777041333143	2.0	FILLER	1.312749196858931	8_2	108	üdvözlet	kölcsönös	1	good		726	8	3	1	2208	9	3	4	2.65	5.8	5.3	6.5	0.0
166.1972040772107	2.0	REPEAT	1.0726979883929744	8_2	40	kesztyű	férfias	1	good	1	891	7	2	1	506	7	3	6	1.7	5.45	4.85	5.4	1.0
172.21447950611218	2.0	DISTANT	1.7360807081477103	8_2	95	végállomás	ideiglenes	1	good	0	893	10	4	4	4073	10	5	1	2.95	4.15	3.65	4.7	1.0
178.21372848960164	2.0	REPEAT	1.18406846032849	8_2	41	királynő	szépséges	1	good	1	2060	8	3	2	414	9	3	8	2.6	5.15	6.55	6.7	1.0
190.2172435644916	2.0	FILLER	1.532433308862892	8_2	109	ügyintézés	zökkenőmentes	1	good		1849	10	4	3	887	13	5	1	1.9	5.55	4.55	6.5	0.0
196.2305049484621	2.0	REPEAT	0.8714294057299412	8_2	35	kapitány	rutinos	2	good	1	6280	8	3	5	669	7	3	6	1.95	6.0	5.15	6.1	1.0
202.2307636546957	2.0	REPEAT	1.455440796999028	8_2	34	kánikula	tavaszi	2	good	1	1200	8	4	1	5301	7	3	7	4.05	5.35	5.25	5.1	1.0
212.23020218532477	2.0	DISTANT	1.5994453953117045	8_2	93	útmutatás	lelkiismereti	2	good	0	703	9	4	2	476	13	6	6	3.5	3.7	2.5	5.05	0.6710424423
216.2303479317088	2.0	CLOSE	1.431391106960291	8_2	18	csomagolás	tetszetős	2	good	1	1577	10	4	4	725	9	3	1	2.1	5.45	6.35	6.25	0.890869737
222.2306327647093	2.0	CLOSE	1.735424465206961	8_2	19	diáklány	védtelen	2	good	1	819	8	3	4	650	8	3	5	4.7	5.4	6.25	6.05	0.762401283
226.2298064416318	2.0	REPEAT	1.3674330347876094	8_2	36	kastély	csodálatos	2	good	1	2771	7	2	4	3144	10	4	8	2.85	6.0	6.75	6.35	1.0
230.23397750331603	2.0	DISTANT	1.7078573949765996	8_2	96	ventilátor	masszív	1	good	0	1165	10	4	3	982	7	2	2	1.6	4.5	5.6	5.5	1.0
238.24627655132824	2.0	REPEAT	1.006716372416122	8_2	37	képregény	izgalmas	2	good	1	1156	9	3	5	6482	8	3	7	3.45	6.15	5.8	6.7	1.0
248.2467591281038	2.0	FILLER	1.7907665952370737	8_2	110	utasítás	elnökségi	1	good		5327	8	4	4	4277	9	4	8	2.7	5.0	2.7	5.85	0.0
260.26328815110173	2.0	FILLER	0.0	8_2	111	útvonal	ajánlatos	1			5624	7	3	3	584	9	4	5	1.6	4.8	4.55	5.65	0.0
270.2667120384467	2.0	REPEAT	1.0265468455509108	8_2	39	készpénz	csekély	2	good	1	3600	8	2	3	3258	7	2	2	4.95	4.5	5.7	6.15	1.0
274.27984867990745	2.0	DISTANT	1.501445681167752	8_2	94	vacsora	ügyészségi	2	good	1	2517	7	3	1	1538	10	4	4	2.2	4.95	4.9	4.5	0.6062234639999999
282.27922676036906	2.0	REPEAT	1.1014671460998215	8_2	38	kerékpár	elektromos	2	good	1	3466	8	3	3	4185	10	4	2	1.75	6.55	6.7	6.95	1.0
288.2794544730823	2.0	CLOSE	1.5174437160258094	8_2	21	díszlet	művészi	2	good	1	1420	7	2	3	2366	7	3	1	1.7	5.7	5.8	6.05	0.82010299
292.2956653642559	2.0	REPEAT	1.6128117986427242	8_2	42	kirándulás	hétvégi	1	good	1	1896	10	4	4	4177	7	3	5	2.95	6.05	6.3	6.9	1.0
300.29601141586136	2.0	CLOSE	1.372765969217653	8_2	20	diktátor	szörnyű	2	good	1	1821	8	3	4	2251	7	2	4	6.3	5.9	6.4	6.55	0.8910186290000001
306.2962455321958	2.0	REPEAT	0.9085214759470546	8_2	40	kesztyű	férfias	2	good	1	891	7	2	1	506	7	3	6	1.7	5.45	4.85	5.4	1.0
316.3127041153766	2.0	DISTANT	1.844143326326957	8_2	95	végállomás	belvárosi	2	good	0	893	10	4	4	2263	9	4	7	2.1	5.7	5.7	6.1	0.709046066
326.3121326563596	2.0	FILLER	1.5079102632607828	8_2	112	üzemanyag	kártékony	1	good		3744	9	4	4	6706	9	3	1	3.75	5.1	4.25	5.7	0.0
334.3284839148764	2.0	REPEAT	1.147496620169477	8_2	41	királynő	szépséges	2	good	1	2060	8	3	2	414	9	3	8	2.6	5.15	6.55	6.7	1.0
342.3288040958578	2.0	CLOSE	1.3954529689999615	8_2	22	díszterem	patinás	1	good	1	1123	9	3	1	802	7	3	4	2.3	5.2	5.55	5.05	1.0
350.3321862316043	2.0	REPEAT	1.5760652677399776	8_2	43	kolbász	tonnányi	1	good	1	867	7	2	2	533	8	3	1	2.6	6.05	5.95	6.15	1.0
356.3454109868708	2.0	REPEAT	1.5308411128771695	8_2	44	kollégium	főiskolai	1	no-good	1	3139	9	4	3	1294	9	5	2	2.5	6.6	6.2	6.45	1.0
360.3446335874469	2.0	REPEAT	1.9148277605636397	8_2	45	kolostor	hajdani	1	no-good	1	1099	8	3	4	1367	7	3	7	2.3	4.65	5.65	5.75	1.0
368.3449670879581	2.0	FILLER	1.6108433259687445	8_2	113	választék	egyforma	1	good		1419	9	3	4	1192	8	3	2	2.25	4.75	4.5	5.15	0.0
378.3613634279554	2.0	REPEAT	1.4021383478957432	8_2	46	költészet	mágikus	1	good	1	1207	9	3	4	454	7	3	1	2.6	3.0	3.15	3.85	1.0
384.36161291297685	2.0	DISTANT	1.4819105429705814	8_2	96	ventilátor	nagyobbik	2	no-good	0	1165	10	4	3	1603	9	3	1	1.75	5.9	6.55	6.3	0.7033834459999999
