onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	order	response	correctness	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
22.095952605017374	2.0	FILLER	1.8328604046782857	8_1	26	észrevétel	lényegtelen	1	good		1877	10	4	3	442	11	4	2	2.95	4.3	2.15	5.9	0.0
30.09628328793588	2.0	FILLER	1.4408966399441852	8_1	27	felajánlás	tömeges	1	good		1792	10	4	4	3303	7	3	8	3.5	4.8	3.9	5.6	0.0
40.09973227747014	2.0	DISTANT	1.4854440602839531	8_1	85	távirat	udvarias	1	good	0	635	7	3	2	446	8	4	1	2.1	4.8	4.45	5.15	1.0
46.11297265756821	2.0	REPEAT	1.104208407594342	8_1	68	ösztöndíj	tanulmányi	1	good	1	2344	9	3	1	1823	10	4	8	3.6	6.65	4.5	6.8	1.0
56.11240862675095	2.0	FILLER	1.3359208225729162	8_1	28	felsorolás	tartalmi	1	no-good		1057	10	4	4	1984	8	3	5	1.4	4.15	3.95	6.0	0.0
66.12884697449408	2.0	DISTANT	1.095545590954316	8_1	86	telefonszám	otthoni	1	good	0	4732	11	4	2	4288	7	3	8	1.4	6.5	4.3	6.65	1.0
74.12919225766473	2.0	FILLER	1.4555575990216312	8_1	29	fenyegetés	írásbeli	1	good		5210	10	4	5	2291	8	4	6	5.5	6.45	5.15	6.45	0.0
80.13246758103469	2.0	REPEAT	1.3720482515300318	8_1	69	pénztárca	ismeretlen	1	good	1	1902	9	3	3	17883	10	4	7	3.55	4.9	4.9	6.15	1.0
86.14571334017364	2.0	FILLER	1.454906478978046	8_1	30	fertőzés	hosszútávú	1	no-good		3797	8	3	1	563	10	4	1	6.0	5.2	3.65	5.8	0.0
92.14497282559933	2.0	REPEAT	1.3829077658483584	8_1	70	pisztoly	törvénytelen	1	no-good	1	1679	8	2	3	1475	12	4	3	4.75	4.9	4.9	5.3	1.0
100.14832883457711	2.0	FILLER	1.3952647025826082	8_1	31	focista	rugalmas	1	good		744	7	3	1	2314	8	3	1	1.85	4.0	3.7	4.0	0.0
104.1614928835288	2.0	REPEAT	1.430245627480872	8_1	71	professzor	közgazdasági	1	good	1	6091	10	3	5	1411	12	5	4	1.9	6.5	5.5	6.65	1.0
108.16167244102326	2.0	DISTANT	1.3902066115060734	8_1	87	tévéműsor	félelmetes	1	good	0	648	9	4	1	1112	10	4	2	5.45	5.8	5.05	6.6	1.0
120.16519981086184	2.0	CLOSE	1.146732796419201	8_1	9	baktérium	növényi	1	good	0	1448	9	4	1	968	7	3	7	2.25	4.75	2.95	5.85	1.0
126.1784455700008	2.0	CLOSE	1.3495994663990132	8_1	10	barátnő	középkorú	1	no-good	1	3479	7	3	1	1253	9	4	8	1.95	5.9	5.5	6.1	1.0
136.17788947967256	2.0	REPEAT	1.1573497416266036	8_1	72	rémálom	szomorú	1	good	0	769	7	3	1	3745	7	3	3	5.8	4.8	4.45	5.5	1.0
140.1810518431921	2.0	FILLER	1.2899517986743376	8_1	32	főhadnagy	harcias	1	good		1176	9	3	1	437	7	3	1	3.25	6.0	6.0	5.75	0.0
148.194398267231	2.0	CLOSE	1.0369347973201002	8_1	11	barlang	lakatlan	1	good	1	1015	7	2	2	471	8	3	2	2.9	6.2	6.1	6.3	1.0
154.19465287514777	2.0	CLOSE	1.2449720059366882	8_1	12	benzinkút	hajnali	1	good	1	1490	9	3	1	3888	7	3	8	2.85	5.25	6.5	4.8	1.0
162.19399944980069	2.0	FILLER	1.476920074118425	8_1	33	földrengés	sorozatos	1	no-good		4360	10	3	5	1199	9	4	5	5.8	6.1	5.0	6.05	0.0
168.1942640473635	2.0	DISTANT	1.3489516762365383	8_1	88	törmelék	építkezési	1	good	1	730	8	3	1	395	10	5	7	1.9	6.55	6.8	6.4	1.0
174.194534792402	2.0	FILLER	1.26894510868442	8_1	34	forgatás	tökéletes	1	good		2380	8	3	5	5587	9	4	4	1.6	4.35	3.65	5.3	0.0
184.19398023894155	2.0	REPEAT	1.1249679178654333	8_1	73	repülőjegy	érvényes	1	good	1	590	10	4	0	10878	8	3	6	2.8	6.75	6.4	6.9	1.0
190.1942158921438	2.0	REPEAT	1.0449078160536374	8_1	68	ösztöndíj	tanulmányi	2	good	1	2344	9	3	1	1823	10	4	8	3.6	6.65	4.5	6.8	1.0
198.19356169836283	2.0	DISTANT	1.0369862824218217	8_1	85	távirat	formális	2	good	0	635	7	3	2	897	8	3	2	2.35	4.3	5.15	6.0	0.6985746620000001
204.21082227086663	2.0	FILLER	1.3243118286127356	8_1	35	frontember	lendületes	1	good		588	10	3	0	483	10	4	8	1.6	4.6	5.6	5.6	0.0
210.2100817562923	2.0	DISTANT	1.572325041584918	8_1	86	telefonszám	térségbeli	2	no-good	0	4732	11	4	2	1020	10	4	1	1.6	5.45	3.15	4.9	0.631895483
218.25641143204848	2.0	DISTANT	0.8776918895855488	8_1	89	tudomány	mérnöki	1	good	1	3986	8	3	5	877	7	3	6	1.7	4.75	3.4	6.0	1.0
222.24361341399435	2.0	CLOSE	1.4989964247315584	8_1	13	bölcsőde	szomszédos	1	good	0	1219	8	3	1	5450	10	3	7	1.7	6.1	5.1	6.55	1.0
226.24378554329	2.0	REPEAT	1.290925405003691	8_1	69	pénztárca	ismeretlen	2	good	1	1902	9	3	3	17883	10	4	7	3.55	4.9	4.9	6.15	1.0
236.24320819294465	2.0	FILLER	1.4826935775790844	8_1	36	fürdőszoba	keskeny	1	good		729	10	4	1	762	7	2	1	2.45	6.4	6.6	6.35	0.0
