onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	order	response	correctness	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
22.107099284759897	1.451092247898487	TARGET	1.451092247898487	6_2	13	bölcsőde	szomszédos		old	1	1219	8	3	1	5450	10	3	7	1.7	6.1	5.1	6.55	1.0
34.11572143842568	1.2424735778295144	FOIL	1.2424735778295144	6_2	26	észrevétel	lényegtelen		new	1	1877	10	4	3	442	11	4	2	2.95	4.3	2.15	5.9	0.0
40.11601011574385	1.242520196527039	DISTANT	1.242520196527039	6_2	51	magazin	állatorvosi		new	1	7307	7	3	2	356	11	5	6	1.6	5.7	5.95	6.65	0.735963702
48.115421490656445	1.354636882613704	TARGET	1.354636882613704	6_2	14	boríték	érvénytelen		old	1	1364	7	3	3	1401	11	4	2	2.8	4.1	4.1	3.4	1.0
58.13192476561744	1.0980555136447947	TARGET	1.0980555136447947	6_2	15	csecsemő	egészséges		old	1	2039	8	3	2	7076	10	4	8	2.6	6.5	6.55	6.6	1.0
68.13243577826142	1.3858365738014982	DISTANT	1.3858365738014982	6_2	52	matrica	kedvezményes		new	1	1479	7	3	2	3115	12	4	6	1.9	5.2	5.8	6.1	0.701929092
72.1486357755457	1.105183563682658	DISTANT	1.105183563682658	6_2	53	mellény	kamionos		new	1	909	7	2	5	543	8	4	7	1.4	6.25	5.7	6.1	0.629222572
82.14915831479084	1.6491968648697366	FOIL	1.6491968648697366	6_2	27	felajánlás	tömeges		new	1	1792	10	4	4	3303	7	3	8	3.5	4.8	3.9	5.6	0.0
92.14864909517564	1.5051970882268506	FOIL	1.5051970882268506	6_2	28	felsorolás	tartalmi		new	1	1057	10	4	4	1984	8	3	5	1.4	4.15	3.95	6.0	0.0
102.14916062010889	1.9371638875163624	FOIL	1.9371638875163624	6_2	29	fenyegetés	írásbeli		old	0	5210	10	4	5	2291	8	4	6	5.5	6.45	5.15	6.45	0.0
106.14935810920724	1.9610398326040013	CLOSE	1.9610398326040013	6_2	38	kerékpár	intelligens		new	1	3466	8	3	3	2053	11	4	1	1.9	3.15	2.8	3.4	0.787231982
110.15256660262094	1.157499987832125	TARGET	1.157499987832125	6_2	16	csengőhang	többféle		old	1	2279	10	3	1	2956	8	3	1	2.25	4.55	3.55	5.8	1.0
120.16507552613255	1.2406772211033967	TARGET	1.2406772211033967	6_2	17	csillagász	figyelmes		old	1	606	10	3	4	1273	9	3	8	1.9	4.4	4.85	5.8	1.0
126.16537316858376	1.6723522693173436	TARGET	1.6723522693173436	6_2	18	csomagolás	ízléses		old	1	1577	10	4	4	472	7	3	7	1.35	5.8	6.1	6.05	1.0
138.18199785707475	1.400045286733075	FOIL	1.400045286733075	6_2	30	fertőzés	hosszútávú		new	1	3797	8	3	1	563	10	4	1	6.0	5.2	3.65	5.8	0.0
148.18549477166016	1.1165623680026329	FOIL	1.1165623680026329	6_2	31	focista	rugalmas		new	1	744	7	3	1	2314	8	3	1	1.85	4.0	3.7	4.0	0.0
158.1980111234261	1.7111879494259483	FOIL	1.7111879494259483	6_2	32	főhadnagy	harcias		new	1	1176	9	3	1	437	7	3	1	3.25	6.0	6.0	5.75	0.0
