onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	jitter	response	counterbalance	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
28.033192522005265	2.0	CLOSE	1.1658773138224203	StimuliTable-4787-Mapping-Run4.xlsx	33	iránytű	előnyös	10	2	2	794	7	3	2	2414	7	3	1	1.35	2.9	3.25	2.35	0.8048268559999999
36.0365418712172	2.0	CLOSE	0.9302697050916322	StimuliTable-4787-Mapping-Run4.xlsx	89	tudomány	építészeti	6	4	2	3986	8	3	5	1116	10	5	7	1.75	3.95	4.45	5.85	0.7951859240000001
48.050058887685736	2.0	DISTANT	1.3169548380865308	StimuliTable-4787-Mapping-Run4.xlsx	81	szőnyeg	templomi	10	3	2	1303	7	2	1	410	8	3	8	1.9	6.4	6.05	6.5	0.613664091
56.05340439472639	2.0	DISTANT	1.137596368072991	StimuliTable-4787-Mapping-Run4.xlsx	5	állatkert	alternatív	6	2	2	2056	9	3	3	4055	10	4	1	2.15	2.55	2.75	2.7	0.67844069
64.06575108566904	2.0	BASELINE	0.9085573362172	StimuliTable-4787-Mapping-Run4.xlsx	66	oroszlán	nyugodt	6	3	2	1351	8	3	3	2967	7	2	2	2.1	5.9	6.5	6.35	1.0
74.06918393808155	2.0	DISTANT	1.3851100987121754	StimuliTable-4787-Mapping-Run4.xlsx	67	osztályzat	alapfokú	8	2	2	1028	10	3	3	821	8	4	4	2.6	4.3	2.9	3.95	0.713177145
86.08270402828566	2.0	BASELINE	0.9479098841693484	StimuliTable-4787-Mapping-Run4.xlsx	29	hangszer	autentikus	10	4	2	1828	8	2	3	526	10	5	1	2.0	4.6	3.7	4.7	1.0
94.0860533774976	2.0	BASELINE	1.2404062251371215	StimuliTable-4787-Mapping-Run4.xlsx	18	csomagolás	ízléses	6	3	2	1577	10	4	4	472	7	3	7	1.35	5.8	6.1	6.05	1.0
102.09939724009018	2.0	CLOSE	1.163229545174545	StimuliTable-4787-Mapping-Run4.xlsx	93	útmutatás	szellemi	6	2	2	703	9	4	2	6915	8	3	7	3.0	2.9	2.85	5.0	0.7834023237000001
112.09882962324627	2.0	BASELINE	1.2429558903313591	StimuliTable-4787-Mapping-Run4.xlsx	6	áruházlánc	veszteséges	8	2	2	935	10	4	2	1234	11	4	8	2.7	4.85	4.1	5.9	1.0
120.1151765272989	2.0	DISTANT	1.1706108694525028	StimuliTable-4787-Mapping-Run4.xlsx	70	pisztoly	ellenséges	6	2	2	1679	8	2	3	1644	10	4	8	4.95	4.35	4.55	4.35	0.6924996379999999
