onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	order	response	correctness	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
22.08199008563679	2.0	FILLER	1.525652831314801	3_1	76	népcsoport	kétnyelvű	1	good		847	10	3	4	1121	9	3	1	1.85	5.55	4.5	6.55	0.0
26.08219474579164	2.0	REPEAT	1.4612212550455297	3_1	9	baktérium	növényi	1	no-good	1	1448	9	4	1	968	7	3	7	2.25	4.75	2.95	5.85	1.0
30.086331749756937	2.0	REPEAT	1.5300073027065082	3_1	10	barátnő	középkorú	1	good	1	3479	7	3	1	1253	9	4	8	1.95	5.9	5.5	6.1	1.0
36.09862928924849	2.0	CLOSE	1.2048023159622971	3_1	93	útmutatás	erkölcsi	1	good	1	703	9	4	2	4377	8	3	7	3.2	4.1	2.7	6.3	1.0
42.09891156145386	2.0	FILLER	1.3727681092859711	3_1	77	nézőpont	kézenfekvő	1	good		1480	8	3	1	875	10	4	1	2.05	3.9	2.25	4.45	0.0
48.09916207163042	2.0	DISTANT	1.0528906902145536	3_1	68	ösztöndíj	tanulmányi	1	good	1	2344	9	3	1	1823	10	4	8	3.6	6.65	4.5	6.8	1.0
54.115450868372136	2.0	REPEAT	1.5800965309463209	3_1	11	barlang	lakatlan	1	no-good	1	1015	7	2	2	471	8	3	2	2.9	6.2	6.1	6.3	1.0
64.11590117194282	2.0	CLOSE	1.6841000063250249	3_1	94	vacsora	zártkörű	1	no-good	1	2517	7	3	1	562	8	3	1	2.45	5.85	5.4	6.9	1.0
74.11535763145366	2.0	FILLER	1.3643865202975576	3_1	78	nyereség	pillanatnyi	1	good		4712	8	3	5	1179	11	4	2	3.8	4.45	3.25	6.35	0.0
80.11461071153826	2.0	FILLER	1.1161511698301183	3_1	79	olvasmány	irodalmi	1	good		593	9	3	0	4601	8	4	7	2.85	5.4	6.35	6.85	0.0
88.11497469411552	2.0	FILLER	1.1721278995355533	3_1	80	operatőr	hivatásos	1	good		1019	8	4	2	3472	9	4	7	1.35	6.55	5.95	6.55	0.0
94.13123787631775	2.0	REPEAT	1.4354896590266435	3_1	12	benzinkút	hajnali	1	no-good	1	1490	9	3	1	3888	7	3	8	2.85	5.25	6.5	4.8	1.0
